"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0116,-8.919268950937744e-14,-3.44906824202128e-11,-8.919268950937744e-14,-3.44906824202128e-11
0.0117,-9.122523554311307e-14,-3.436749827141893e-11,-9.122523554311307e-14,-3.436749827141893e-11
0.0118,-9.327734900462924e-14,-3.424538641537367e-11,-9.327734900462924e-14,-3.424538641537367e-11
0.0119,-9.534863284167462e-14,-3.412433502269956e-11,-9.534863284167462e-14,-3.412433502269956e-11
0.012,-9.743868692842903e-14,-3.400432078535959e-11,-9.743868692842903e-14,-3.400432078535959e-11
0.0121,-9.954709852596321e-14,-3.38853326774919e-11,-9.954709852596321e-14,-3.38853326774919e-11
0.0122,-1.016734551525367e-13,-3.376736087759398e-11,-1.016734551525367e-13,-3.376736087759398e-11
0.0123,-1.038173378757965e-13,-3.365039459007164e-11,-1.038173378757965e-13,-3.365039459007164e-11
0.0124,-1.059783188948e-13,-3.353441858466683e-11,-1.059783188948e-13,-3.353441858466683e-11
0.0125,-1.081559738006577e-13,-3.341943774418376e-11,-1.081559738006577e-13,-3.341943774418376e-11
0.0126,-1.103498668553892e-13,-3.330544438953643e-11,-1.103498668553892e-13,-3.330544438953643e-11
0.0127,-1.125595594019599e-13,-3.319243325534253e-11,-1.125595594019599e-13,-3.319243325534253e-11
0.0128,-1.147846137454563e-13,-3.308038504454959e-11,-1.147846137454563e-13,-3.308038504454959e-11
0.0129,-1.170245843220838e-13,-3.296929017739946e-11,-1.170245843220838e-13,-3.296929017739946e-11
0.013,-1.192790259675077e-13,-3.285913459357114e-11,-1.192790259675077e-13,-3.285913459357114e-11
0.0131,-1.215474923919011e-13,-3.27499065700413e-11,-1.215474923919011e-13,-3.27499065700413e-11
0.0132,-1.238295307259647e-13,-3.264158840787994e-11,-1.238295307259647e-13,-3.264158840787994e-11
0.0133,-1.261246908461501e-13,-3.253417743696816e-11,-1.261246908461501e-13,-3.253417743696816e-11
0.0134,-1.284325191840373e-13,-3.24276680459795e-11,-1.284325191840373e-13,-3.24276680459795e-11
0.0135,-1.307525583059385e-13,-3.23220502549851e-11,-1.307525583059385e-13,-3.23220502549851e-11
0.0136,-1.330843558634513e-13,-3.221731798758169e-11,-1.330843558634513e-13,-3.221731798758169e-11
0.0137,-1.354274522179503e-13,-3.211346615901619e-11,-1.354274522179503e-13,-3.211346615901619e-11
0.0138,-1.377813876729306e-13,-3.201048575988963e-11,-1.377813876729306e-13,-3.201048575988963e-11
0.0139,-1.401457039864637e-13,-3.190835048794694e-11,-1.401457039864637e-13,-3.190835048794694e-11
0.014,-1.425199454618948e-13,-3.180705645557974e-11,-1.425199454618948e-13,-3.180705645557974e-11
0.0141,-1.449036563175188e-13,-3.170659262997316e-11,-1.449036563175188e-13,-3.170659262997316e-11
0.0142,-1.472963870239137e-13,-3.160695495469355e-11,-1.472963870239137e-13,-3.160695495469355e-11
0.0143,-1.496976852271202e-13,-3.150813514322564e-11,-1.496976852271202e-13,-3.150813514322564e-11
0.0144,-1.521070972629062e-13,-3.141012248251866e-11,-1.521070972629062e-13,-3.141012248251866e-11
0.0145,-1.545241725687697e-13,-3.131290797113707e-11,-1.545241725687697e-13,-3.131290797113707e-11
0.0146,-1.569484673156616e-13,-3.12164817492881e-11,-1.569484673156616e-13,-3.12164817492881e-11
0.0147,-1.593795292144865e-13,-3.112083534140666e-11,-1.593795292144865e-13,-3.112083534140666e-11
0.0148,-1.618169097774148e-13,-3.102595985868701e-11,-1.618169097774148e-13,-3.102595985868701e-11
0.0149,-1.64260171942574e-13,-3.093184811183262e-11,-1.64260171942574e-13,-3.093184811183262e-11
0.015,-1.667088757110307e-13,-3.083849245293429e-11,-1.667088757110307e-13,-3.083849245293429e-11
0.0151,-1.691625728478952e-13,-3.074588395784408e-11,-1.691625728478952e-13,-3.074588395784408e-11
0.0152,-1.716208221532223e-13,-3.06540143722899e-11,-1.716208221532223e-13,-3.06540143722899e-11
0.0153,-1.74083226091034e-13,-3.056287387635202e-11,-1.74083226091034e-13,-3.056287387635202e-11
0.0154,-1.765493305652355e-13,-3.047245481749325e-11,-1.765493305652355e-13,-3.047245481749325e-11
0.0155,-1.790187013423986e-13,-3.038274886791838e-11,-1.790187013423986e-13,-3.038274886791838e-11
0.0156,-1.814909230766438e-13,-3.029374852688318e-11,-1.814909230766438e-13,-3.029374852688318e-11
0.0157,-1.83965591241902e-13,-3.020544678053981e-11,-1.83965591241902e-13,-3.020544678053981e-11
0.0158,-1.864422779888103e-13,-3.011783565865349e-11,-1.864422779888103e-13,-3.011783565865349e-11
0.0159,-1.889205690413436e-13,-3.003090779376127e-11,-1.889205690413436e-13,-3.003090779376127e-11
0.016,-1.914000922642624e-13,-2.994465433735604e-11,-1.914000922642624e-13,-2.994465433735604e-11
0.0161,-1.93880441147257e-13,-2.985906812629579e-11,-1.93880441147257e-13,-2.985906812629579e-11
0.0162,-1.963612245037096e-13,-2.977414162295581e-11,-1.963612245037096e-13,-2.977414162295581e-11
0.0163,-1.988420557276475e-13,-2.968986762874443e-11,-1.988420557276475e-13,-2.968986762874443e-11
0.0164,-2.013225509311612e-13,-2.960623946891407e-11,-2.013225509311612e-13,-2.960623946891407e-11
0.0165,-2.038023348630841e-13,-2.952324978478676e-11,-2.038023348630841e-13,-2.952324978478676e-11
0.0166,-2.062810355120279e-13,-2.944089162280781e-11,-2.062810355120279e-13,-2.944089162280781e-11
0.0167,-2.087582849880609e-13,-2.935915784132154e-11,-2.087582849880609e-13,-2.935915784132154e-11
0.0168,-2.112337205004797e-13,-2.927804161874944e-11,-2.112337205004797e-13,-2.927804161874944e-11
0.0169,-2.137069838585395e-13,-2.91975362113469e-11,-2.137069838585395e-13,-2.91975362113469e-11
0.017,-2.161777240405677e-13,-2.911763492132665e-11,-2.161777240405677e-13,-2.911763492132665e-11
0.0171,-2.186456020367067e-13,-2.903833111998026e-11,-2.186456020367067e-13,-2.903833111998026e-11
0.0172,-2.211102738872416e-13,-2.89596182766848e-11,-2.211102738872416e-13,-2.89596182766848e-11
0.0173,-2.23571404491805e-13,-2.888148993369449e-11,-2.23571404491805e-13,-2.888148993369449e-11
0.0174,-2.260286639601832e-13,-2.880393971180849e-11,-2.260286639601832e-13,-2.880393971180849e-11
0.0175,-2.284817275950397e-13,-2.872696130961723e-11,-2.284817275950397e-13,-2.872696130961723e-11
0.0176,-2.309302758748824e-13,-2.865054850275942e-11,-2.309302758748824e-13,-2.865054850275942e-11
0.0177,-2.333739965800025e-13,-2.857469516848699e-11,-2.333739965800025e-13,-2.857469516848699e-11
0.0178,-2.358125917230833e-13,-2.849939536699884e-11,-2.358125917230833e-13,-2.849939536699884e-11
0.0179,-2.382457526904326e-13,-2.842464304741911e-11,-2.382457526904326e-13,-2.842464304741911e-11
0.018,-2.406731827817016e-13,-2.835043231337404e-11,-2.406731827817016e-13,-2.835043231337404e-11
0.0181,-2.430945906287908e-13,-2.827675734480099e-11,-2.430945906287908e-13,-2.827675734480099e-11
0.0182,-2.455096901807981e-13,-2.82036123972715e-11,-2.455096901807981e-13,-2.82036123972715e-11
0.0183,-2.479182006892643e-13,-2.813099180132426e-11,-2.479182006892643e-13,-2.813099180132426e-11
0.0184,-2.50319850339276e-13,-2.805888995461814e-11,-2.50319850339276e-13,-2.805888995461814e-11
0.0185,-2.527144164671875e-13,-2.798730124285415e-11,-2.527144164671875e-13,-2.798730124285415e-11
0.0186,-2.55101611077395e-13,-2.79162202647067e-11,-2.55101611077395e-13,-2.79162202647067e-11
0.0187,-2.57481180762041e-13,-2.784564163329813e-11,-2.57481180762041e-13,-2.784564163329813e-11
0.0188,-2.598528779114122e-13,-2.777556003281056e-11,-2.598528779114122e-13,-2.777556003281056e-11
0.0189,-2.622164607028976e-13,-2.770597021790713e-11,-2.622164607028976e-13,-2.770597021790713e-11
0.019,-2.645716930902525e-13,-2.763686701316186e-11,-2.645716930902525e-13,-2.763686701316186e-11
0.0191,-2.66918344793174e-13,-2.756824531249736e-11,-2.66918344793174e-13,-2.756824531249736e-11
0.0192,-2.692562167698026e-13,-2.750009992978757e-11,-2.692562167698026e-13,-2.750009992978757e-11
0.0193,-2.715850782196081e-13,-2.743242596847125e-11,-2.715850782196081e-13,-2.743242596847125e-11
0.0194,-2.739047185624943e-13,-2.736521851440006e-11,-2.739047185624943e-13,-2.736521851440006e-11
0.0195,-2.762149335419697e-13,-2.729847271750459e-11,-2.762149335419697e-13,-2.729847271750459e-11
0.0196,-2.785155248633573e-13,-2.723218379337988e-11,-2.785155248633573e-13,-2.723218379337988e-11
0.0197,-2.808063001865389e-13,-2.716634702279642e-11,-2.808063001865389e-13,-2.716634702279642e-11
0.0198,-2.830870731189922e-13,-2.710095775121814e-11,-2.830870731189922e-13,-2.710095775121814e-11
0.0199,-2.853576575191153e-13,-2.703601117365039e-11,-2.853576575191153e-13,-2.703601117365039e-11
0.02,-2.876178807442083e-13,-2.697150283327008e-11,-2.876178807442083e-13,-2.697150283327008e-11
0.0201,-2.898675741755404e-13,-2.690742826492455e-11,-2.898675741755404e-13,-2.690742826492455e-11
0.0202,-2.921065744502106e-13,-2.684378304100065e-11,-2.921065744502106e-13,-2.684378304100065e-11
0.0203,-2.943347240779163e-13,-2.678056279440073e-11,-2.943347240779163e-13,-2.678056279440073e-11
0.0204,-2.965518714367701e-13,-2.67177632181264e-11,-2.965518714367701e-13,-2.67177632181264e-11
0.0205,-2.987578707693746e-13,-2.665538006486864e-11,-2.987578707693746e-13,-2.665538006486864e-11
0.0206,-3.009525607416433e-13,-2.659340890799075e-11,-3.009525607416433e-13,-2.659340890799075e-11
0.0207,-3.031358098776814e-13,-2.65318456475882e-11,-3.031358098776814e-13,-2.65318456475882e-11
0.0208,-3.053074918830864e-13,-2.647068623465979e-11,-3.053074918830864e-13,-2.647068623465979e-11
0.0209,-3.074674811636881e-13,-2.640992662106468e-11,-3.074674811636881e-13,-2.640992662106468e-11
0.021,-3.096156577276569e-13,-2.634956281380329e-11,-3.096156577276569e-13,-2.634956281380329e-11
0.0211,-3.117519071837258e-13,-2.628959087466177e-11,-3.117519071837258e-13,-2.628959087466177e-11
0.0212,-3.138761207396315e-13,-2.623000691986152e-11,-3.138761207396315e-13,-2.623000691986152e-11
0.0213,-3.15988176493784e-13,-2.617080697158647e-11,-3.15988176493784e-13,-2.617080697158647e-11
0.0214,-3.18087972146434e-13,-2.611198721720573e-11,-3.18087972146434e-13,-2.611198721720573e-11
0.0215,-3.201754178750622e-13,-2.605354395203429e-11,-3.201754178750622e-13,-2.605354395203429e-11
0.0216,-3.222504217715318e-13,-2.599547346377665e-11,-3.222504217715318e-13,-2.599547346377665e-11
0.0217,-3.24312896762862e-13,-2.593777208709889e-11,-3.24312896762862e-13,-2.593777208709889e-11
0.0218,-3.263627605665634e-13,-2.588043620298971e-11,-3.263627605665634e-13,-2.588043620298971e-11
0.0219,-3.283999356462127e-13,-2.582346223812861e-11,-3.283999356462127e-13,-2.582346223812861e-11
0.022,-3.30424339511006e-13,-2.576684663754584e-11,-3.30424339511006e-13,-2.576684663754584e-11
0.0221,-3.324358979603924e-13,-2.571058590087102e-11,-3.324358979603924e-13,-2.571058590087102e-11
0.0222,-3.344345500413035e-13,-2.565467659547399e-11,-3.344345500413035e-13,-2.565467659547399e-11
0.0223,-3.364202333259404e-13,-2.559911531525203e-11,-3.364202333259404e-13,-2.559911531525203e-11
0.0224,-3.383928894328193e-13,-2.554389869544889e-11,-3.383928894328193e-13,-2.554389869544889e-11
0.0225,-3.403524639548732e-13,-2.548902341198992e-11,-3.403524639548732e-13,-2.548902341198992e-11
