"time","ca_cyto.c.c","ca_nsr.c.c"
0.0377,4.481949648044323e-08,1.072676709589517
0.0378,4.386704486221626e-08,1.072676746538072
0.0379,4.293483220210689e-08,1.072676782701494
0.038,4.202242855818919e-08,1.072676818096463
0.0381,4.112941290611857e-08,1.072676852739311
0.0382,4.025537337038684e-08,1.072676886646017
0.0383,3.939990689007947e-08,1.072676919832217
0.0384,3.856261869340039e-08,1.072676952313225
0.0385,3.774312255360796e-08,1.072676984104023
0.0386,3.694104060107798e-08,1.072677015219272
0.0387,3.61560026836696e-08,1.072677045673329
0.0388,3.538764663274829e-08,1.072677075480244
0.0389,3.463561818805812e-08,1.072677104653762
0.039,3.389957028514129e-08,1.072677133207344
0.0391,3.317916332058393e-08,1.072677161154166
0.0392,3.247406516173892e-08,1.072677188507112
0.0393,3.178395039469499e-08,1.072677215278805
0.0394,3.110850058837049e-08,1.072677241481599
0.0395,3.044740452024427e-08,1.072677267127568
0.0396,2.980035713923765e-08,1.072677292228543
0.0397,2.916706000255744e-08,1.072677316796105
0.0398,2.854722098460741e-08,1.072677340841584
0.0399,2.794055412445015e-08,1.072677364376074
0.04,2.734677947326846e-08,1.072677387410436
0.0401,2.67656233918579e-08,1.072677409955284
0.0402,2.619681755359397e-08,1.072677432021028
0.0403,2.564009926596953e-08,1.072677453617858
0.0404,2.509521133747984e-08,1.072677474755751
0.0405,2.456190187289459e-08,1.072677495444481
0.0406,2.403992474343361e-08,1.072677515693593
0.0407,2.352904109127891e-08,1.072677535512356
0.0408,2.302901349910875e-08,1.072677554909978
0.0409,2.25396108448128e-08,1.072677573895426
0.041,2.206060676420496e-08,1.07267759247748
0.0411,2.159177951907782e-08,1.072677610664744
0.0412,2.11329148171584e-08,1.07267762846553
0.0413,2.068380172418455e-08,1.072677645888021
0.0414,2.024423165063352e-08,1.072677662940308
0.0415,1.981400165213039e-08,1.072677679630265
0.0416,1.939291302835119e-08,1.072677695965599
0.0417,1.89807712115128e-08,1.07267771195386
0.0418,1.857738912027131e-08,1.072677727602303
0.0419,1.818257922563384e-08,1.072677742918204
0.042,1.779615957620591e-08,1.072677757908622
0.0421,1.741795207284609e-08,1.072677772580464
0.0422,1.704778236356484e-08,1.072677786940496
0.0423,1.668547995187411e-08,1.072677800995331
0.0424,1.633087810935743e-08,1.072677814751437
0.0425,1.598381305429128e-08,1.072677828215167
0.0426,1.564412461422542e-08,1.072677841392736
0.0427,1.531165589867193e-08,1.072677854290229
0.0428,1.498625320196934e-08,1.07267786691361
0.0429,1.466776719192297e-08,1.072677879268671
0.043,1.435605047439193e-08,1.072677891361129
0.0431,1.405095849475811e-08,1.072677903196594
0.0432,1.375234985023081e-08,1.072677914780551
0.0433,1.346008592701482e-08,1.072677926118375
0.0434,1.317403143047696e-08,1.072677937215317
0.0435,1.289405782915697e-08,1.072677948076362
0.0436,1.262003320389331e-08,1.072677958706627
0.0437,1.235183065044145e-08,1.072677969111037
0.0438,1.208932585984301e-08,1.072677979294412
0.0439,1.183239704712764e-08,1.072677989261478
0.044,1.158092727509306e-08,1.072677999016771
0.0441,1.13348019513022e-08,1.072678008564736
0.0442,1.109390625596325e-08,1.072678017909828
0.0443,1.085812927173259e-08,1.072678027056349
0.0444,1.062736250345572e-08,1.072678036008508
0.0445,1.040149982536908e-08,1.072678044770422
0.0446,1.018043735197232e-08,1.072678053346122
0.0447,9.964073548130137e-09,1.072678061739545
0.0448,9.752309062252855e-09,1.072678069954547
0.0449,9.545046692429088e-09,1.072678077994897
0.045,9.342191337884874e-09,1.072678085864286
0.0451,9.14364913342498e-09,1.072678093566354
0.0452,8.949326597447912e-09,1.072678101104729
0.0453,8.759135099450075e-09,1.072678108482847
0.0454,8.572986491151387e-09,1.072678115704129
0.0455,8.390794298451762e-09,1.07267812277193
0.0456,8.212473656404174e-09,1.072678129689541
0.0457,8.037941244187808e-09,1.072678136460195
0.0458,7.867120398398543e-09,1.072678143086865
0.0459,7.699932052233548e-09,1.072678149572621
0.046,7.536297189624119e-09,1.072678155920524
0.0461,7.376139963275352e-09,1.07267816213352
0.0462,7.219386053768656e-09,1.072678168214491
0.0463,7.065962625513737e-09,1.072678174166262
0.0464,6.915798557706817e-09,1.072678179991592
0.0465,6.768827310850848e-09,1.072678185693063
0.0466,6.624979020918502e-09,1.072678191273385
0.0467,6.484187116012398e-09,1.072678196735139
0.0468,6.34638641108892e-09,1.072678202080857
0.0469,6.211513072288801e-09,1.072678207313012
0.047,6.079504876908181e-09,1.072678212434019
0.0471,5.950302811689706e-09,1.072678217446168
0.0472,5.823846194541636e-09,1.072678222351813
0.0473,5.700076811871502e-09,1.072678227153212
0.0474,5.57893771579874e-09,1.072678231852573
0.0475,5.460373194831319e-09,1.072678236452059
0.0476,5.344328583800792e-09,1.07267824095379
0.0477,5.230749735978257e-09,1.072678245359866
0.0478,5.119584708826206e-09,1.072678249672302
0.0479,5.01078220758338e-09,1.072678253893089
0.048,4.904291988531862e-09,1.072678258024175
0.0481,4.800064827001303e-09,1.07267826206747
