"time","l2.v","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
1.45,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.46,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.47,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.48,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.49,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.5,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.51,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.52,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.53,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.54,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.55,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.56,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.57,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.58,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.59,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.6,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.61,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.62,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.63,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.64,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.65,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.66,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.67,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.68,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.69,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.7,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.71,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.72,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.73,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.74,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.75,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.76,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.77,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.78,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.79,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.8,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.81,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.82,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.83,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.84,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.85,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.86,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.87,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.88,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.89,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.9,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.91,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.92,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.93,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.94,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.95,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.96,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.97,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.98,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.99,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.01,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.02,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.03,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.04,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.05,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.06,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.07,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.08,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.09,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.1,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.11,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.12,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
