"time","l2.v","act_steady","act_tau_fast","act_tau_slow","inact_steady","inact_tau","v","vc.v"
125,0.005000000000000508,0.856999380743325,0.04783178334445284,1.057880985521643,0.2444838311459835,0.001395333626409859,0.005000000000000508,0.005000000000000508
126,0.00600000000000051,0.8708207624993298,0.04599668918797829,1.03557776907734,0.2360065848336808,0.001386692937163566,0.00600000000000051,0.00600000000000051
127,0.007000000000000503,0.8834878883761197,0.04422941019227488,1.0125921284986,0.2278866051950727,0.001377998537675877,0.007000000000000503,0.007000000000000503
128,0.008000000000000503,0.8950625749867737,0.04252775697296592,0.9890379134179517,0.2200797371475737,0.001369254375021397,0.008000000000000503,0.008000000000000503
129,0.00900000000000053,0.905610244143591,0.04088957104399384,0.9650285143208539,0.212544739373272,0.001360464307385491,0.00900000000000053,0.00900000000000053
130,0.01000000000000056,0.9151981724140678,0.03931273001749767,0.9406759778475835,0.2052440113372626,0.001351632103531121,0.01000000000000056,0.01000000000000056
131,0.01100000000000057,0.9238940244112539,0.03779515186927551,0.9160901670547221,0.1981441333200643,0.00134276144243049,0.01100000000000057,0.01100000000000057
132,0.0120000000000006,0.9317646592018816,0.03633479838565121,0.891377974973812,0.1912162205390169,0.001333855913053108,0.0120000000000006,0.0120000000000006
133,0.01300000000000063,0.938875189593239,0.03492967789528487,0.8666425987515418,0.1844360994595506,0.001324919014302045,0.01300000000000063,0.01300000000000063
134,0.01400000000000065,0.94528826818791,0.03357784737824637,0.8419828805280036,0.1777843203086488,0.001315954155090176,0.01400000000000065,0.01400000000000065
135,0.01500000000000067,0.9510635712417794,0.03227741403446739,0.8174927200301287,0.1712460244368831,0.001306964654548374,0.01500000000000067,0.01500000000000067
136,0.01600000000000069,0.9562574507940022,0.03102653638444386,0.7932605626495168,0.1648106884594174,0.001297953742357772,0.01600000000000069,0.01600000000000069
137,0.01700000000000072,0.9609227265940634,0.02982342496671892,0.7693689655601667,0.1584717690504687,0.001288924559198341,0.01700000000000072,0.01700000000000072
138,0.01800000000000073,0.965108591468266,0.02866634268917137,0.7458942432339264,0.1522262729507767,0.001279880157306234,0.01800000000000073,0.01800000000000073
139,0.01900000000000076,0.9688606064963964,0.0275536048844025,0.7229061925502789,0.1460742763105436,0.00127082350113254,0.01900000000000076,0.01900000000000076
140,0.02000000000000079,0.9722207653683838,0.02648357911349062,0.700467896591116,0.1400184161075188,0.00126175746809628,0.02000000000000079,0.02000000000000079
141,0.0210000000000008,0.9752276103163983,0.02545468475700511,0.6786356051771665,0.1340633742512628,0.001252684849424715,0.0210000000000008,0.0210000000000008
142,0.02200000000000083,0.9779163849062363,0.02446539242738255,0.657458689255208,0.1282153723181648,0.001243608351074227,0.02200000000000083,0.02200000000000083
