"time","ca.cyto.con","ca.jsr.con","ca.nsr.con","ca.sub.con","cal.i_ion","naca.i_ion","cal.i","naca.i"
0.1169,0.0005505652276566695,0.06722170536226448,1.241958767285599,0.0004908833415683002,-1.846458803650433e-11,-1.923177904516231e-11,-1.846458803650433e-11,-1.923177904516231e-11
0.117,0.0005503210394841802,0.06726849550685447,1.241995458199039,0.0004906253298148359,-1.843586346525481e-11,-1.921740619996987e-11,-1.843586346525481e-11,-1.921740619996987e-11
0.1171,0.00055007698475922,0.06731531385428849,1.242032095513776,0.0004903674389985383,-1.840717084263669e-11,-1.92030491221974e-11,-1.840717084263669e-11,-1.92030491221974e-11
0.1172,0.0005498330632451689,0.06736216043372961,1.242068679250549,0.0004901096688622291,-1.83785101684392e-11,-1.918870780789148e-11,-1.83785101684392e-11,-1.918870780789148e-11
0.1173,0.0005495892747160657,0.06740903512106747,1.242105209432186,0.0004898520209062437,-1.83498814425307e-11,-1.91743822530709e-11,-1.83498814425307e-11,-1.91743822530709e-11
0.1174,0.0005493456189529102,0.06745593769838655,1.242141686082776,0.0004895944977076616,-1.832128466486099e-11,-1.916007245372675e-11,-1.832128466486099e-11,-1.916007245372675e-11
0.1175,0.0005491020957033954,0.06750286850173054,1.242178109218709,0.0004893370955049537,-1.829271983546358e-11,-1.914577840582244e-11,-1.829271983546358e-11,-1.914577840582244e-11
0.1176,0.000548858704735826,0.06754982755375609,1.242214478860678,0.0004890798141270226,-1.826418695445806e-11,-1.913150010529377e-11,-1.826418695445806e-11,-1.913150010529377e-11
0.1177,0.0005486154458196406,0.06759681487705975,1.242250795029342,0.0004888226534063592,-1.823568602205256e-11,-1.911723754804898e-11,-1.823568602205256e-11,-1.911723754804898e-11
0.1178,0.0005483723187254114,0.0676438304941779,1.242287057745327,0.0004885656131790418,-1.820721703854608e-11,-1.91029907299688e-11,-1.820721703854608e-11,-1.91029907299688e-11
0.1179,0.0005481293232248444,0.06769087442758683,1.242323267029225,0.0004883086932847369,-1.817878000433106e-11,-1.908875964690652e-11,-1.817878000433106e-11,-1.908875964690652e-11
0.118,0.0005478864590907794,0.06773794669970266,1.242359422901599,0.0004880518935666985,-1.815037491989577e-11,-1.907454429468803e-11,-1.815037491989577e-11,-1.907454429468803e-11
