"time","vc.i"
0.0379,-1.110924137889545e-12
0.038,-1.11335567683155e-12
0.0381,-1.11578583412606e-12
0.0382,-1.11821461048324e-12
0.0383,-1.120642006616578e-12
0.0384,-1.12306802324536e-12
0.0385,-1.125492661096e-12
0.0386,-1.127915920896876e-12
0.0387,-1.130337803381487e-12
0.0388,-1.132758309287321e-12
0.0389,-1.135177439355555e-12
0.039,-1.137595194330752e-12
0.0391,-1.14001157496076e-12
0.0392,-1.142426581995963e-12
0.0393,-1.144840216189273e-12
0.0394,-1.147252478295749e-12
0.0395,-1.149663369072258e-12
0.0396,-1.152072889283288e-12
0.0397,-1.154481039708575e-12
0.0398,-1.156887821105192e-12
0.0399,-1.159293234242194e-12
0.04,-1.161697279890347e-12
0.0401,-1.164099958821916e-12
0.0402,-1.166501271821586e-12
0.0403,-1.168901219664818e-12
0.0404,-1.171299803129239e-12
0.0405,-1.173697022995477e-12
0.0406,-1.176092880045341e-12
0.0407,-1.178487375064115e-12
0.0408,-1.180880508841318e-12
0.0409,-1.183272282160363e-12
0.041,-1.185662695808594e-12
0.0411,-1.188051750574127e-12
0.0412,-1.190439447245699e-12
0.0413,-1.192825786619166e-12
0.0414,-1.195210769483756e-12
0.0415,-1.19759439663073e-12
0.0416,-1.199976668852361e-12
0.0417,-1.202357586941235e-12
0.0418,-1.204737151693193e-12
0.0419,-1.207115363906512e-12
0.042,-1.209492224373345e-12
0.0421,-1.211867733888986e-12
0.0422,-1.214241893248905e-12
0.0423,-1.216614703248663e-12
0.0424,-1.218986164690981e-12
0.0425,-1.221356278370187e-12
0.0426,-1.22372504508342e-12
0.0427,-1.226092465628192e-12
0.0428,-1.228458540802071e-12
0.0429,-1.230823271404419e-12
0.043,-1.233186658235098e-12
0.0431,-1.235548702091298e-12
0.0432,-1.237909403771543e-12
0.0433,-1.240268764074334e-12
0.0434,-1.24262678379814e-12
0.0435,-1.244983463743661e-12
0.0436,-1.247338804708518e-12
0.0437,-1.249692807491339e-12
0.0438,-1.252045472890622e-12
0.0439,-1.254396801704693e-12
0.044,-1.25674679473272e-12
0.0441,-1.259095452773585e-12
0.0442,-1.261442776624843e-12
0.0443,-1.263788767084422e-12
0.0444,-1.266133424949999e-12
0.0445,-1.268476751019107e-12
0.0446,-1.270818746091115e-12
0.0447,-1.273159410962241e-12
0.0448,-1.275498746429518e-12
0.0449,-1.27783675328969e-12
0.045,-1.28017343233919e-12
0.0451,-1.28250878437516e-12
0.0452,-1.284842810194059e-12
0.0453,-1.287175510591294e-12
0.0454,-1.289506886362411e-12
0.0455,-1.291836938302633e-12
0.0456,-1.294165667206962e-12
0.0457,-1.29649307387092e-12
0.0458,-1.29881915908844e-12
0.0459,-1.30114392365359e-12
0.046,-1.303467368360092e-12
0.0461,-1.3057894940013e-12
0.0462,-1.30811030137082e-12
0.0463,-1.310429791261532e-12
0.0464,-1.312747964465683e-12
0.0465,-1.315064821775362e-12
0.0466,-1.317380363982286e-12
0.0467,-1.319694591877787e-12
0.0468,-1.322007506252807e-12
0.0469,-1.324319107897885e-12
0.047,-1.326629397603147e-12
0.0471,-1.328938376158302e-12
0.0472,-1.331246044352624e-12
0.0473,-1.333552402975607e-12
0.0474,-1.335857452815586e-12
0.0475,-1.338161194660408e-12
0.0476,-1.340463629297652e-12
0.0477,-1.342764757514423e-12
0.0478,-1.345064580097359e-12
0.0479,-1.347363097832609e-12
0.048,-1.349660311505827e-12
0.0481,-1.351956221902165e-12
0.0482,-1.35425082980626e-12
0.0483,-1.356544136002224e-12
0.0484,-1.358836141282351e-12
0.0485,-1.361126846427176e-12
0.0486,-1.363416252218411e-12
0.0487,-1.365704359439039e-12
0.0488,-1.367991168871585e-12
0.0489,-1.370276681298111e-12
0.049,-1.372560897500211e-12
0.0491,-1.37484381825901e-12
0.0492,-1.377125444355153e-12
0.0493,-1.379405776568807e-12
0.0494,-1.381684815679652e-12
0.0495,-1.383962562471598e-12
0.0496,-1.386239017721334e-12
0.0497,-1.388514182206887e-12
0.0498,-1.390788056706405e-12
0.0499,-1.393060641997577e-12
0.05,-1.395331938857621e-12
0.0501,-1.397601948063288e-12
0.0502,-1.399870670390856e-12
0.0503,-1.402138106616126e-12
0.0504,-1.404404257514422e-12
0.0505,-1.406669123860587e-12
0.0506,-1.408932706433034e-12
0.0507,-1.411195006003489e-12
0.0508,-1.41345602334541e-12
0.0509,-1.415715759232031e-12
0.051,-1.417974214436125e-12
0.0511,-1.420231389729999e-12
0.0512,-1.422487285885493e-12
0.0513,-1.424741903673979e-12
0.0514,-1.42699524386636e-12
0.0515,-1.429247307233066e-12
0.0516,-1.431498094544053e-12
0.0517,-1.43374760657053e-12
0.0518,-1.435995844080444e-12
0.0519,-1.438242807842442e-12
0.052,-1.440488498624705e-12
0.0521,-1.442732917194949e-12
0.0522,-1.444976064320415e-12
0.0523,-1.447217940767874e-12
0.0524,-1.449458547303623e-12
0.0525,-1.451697884693484e-12
0.0526,-1.453935953702804e-12
0.0527,-1.456172755096545e-12
0.0528,-1.458408289640776e-12
0.0529,-1.460642558098346e-12
0.053,-1.462875561232815e-12
0.0531,-1.465107299807276e-12
0.0532,-1.467337774584351e-12
0.0533,-1.46956698632619e-12
0.0534,-1.471794935794471e-12
0.0535,-1.474021623750401e-12
0.0536,-1.476247050954711e-12
0.0537,-1.478471218167658e-12
0.0538,-1.480694126149259e-12
0.0539,-1.482915775660632e-12
0.054,-1.485136167459418e-12
0.0541,-1.487355302304127e-12
0.0542,-1.489573180952808e-12
0.0543,-1.491789804163045e-12
0.0544,-1.494005172691958e-12
0.0545,-1.496219287296208e-12
0.0546,-1.498432148731988e-12
0.0547,-1.500643757755029e-12
0.0548,-1.502854115120598e-12
0.0549,-1.505063221583697e-12
0.055,-1.507271077899552e-12
0.0551,-1.50947768482143e-12
0.0552,-1.511683043102829e-12
0.0553,-1.513887153496791e-12
0.0554,-1.516090016755903e-12
0.0555,-1.518291633632295e-12
0.0556,-1.520492004877642e-12
0.0557,-1.522691131243165e-12
0.0558,-1.524889013479629e-12
0.0559,-1.527085652337343e-12
0.056,-1.529281048566165e-12
0.0561,-1.531475202915499e-12
0.0562,-1.533668116134289e-12
0.0563,-1.53585978897103e-12
0.0564,-1.538050222173758e-12
0.0565,-1.540239416490061e-12
0.0566,-1.54242737266707e-12
0.0567,-1.544614091451464e-12
0.0568,-1.546799573589469e-12
0.0569,-1.548983819826856e-12
0.057,-1.551166830908947e-12
0.0571,-1.553348607580552e-12
0.0572,-1.555529150585973e-12
0.0573,-1.557708460669259e-12
0.0574,-1.559886538573907e-12
0.0575,-1.562063385042959e-12
0.0576,-1.564239000819002e-12
0.0577,-1.566413386644174e-12
0.0578,-1.568586543260155e-12
0.0579,-1.570758471408177e-12
0.058,-1.572929171829016e-12
0.0581,-1.575098645262996e-12
0.0582,-1.577266892449989e-12
0.0583,-1.579433914129413e-12
0.0584,-1.581599711040236e-12
0.0585,-1.58376428392097e-12
0.0586,-1.585927633509679e-12
0.0587,-1.588089760543971e-12
0.0588,-1.590250665761004e-12
0.0589,-1.592410349897484e-12
0.059,-1.594568813689665e-12
0.0591,-1.596726057873347e-12
0.0592,-1.598882083183883e-12
0.0593,-1.601036890357024e-12
0.0594,-1.603190480127758e-12
0.0595,-1.605342853229202e-12
0.0596,-1.607494010394962e-12
0.0597,-1.609643952358202e-12
0.0598,-1.611792679851634e-12
0.0599,-1.61394019360753e-12
0.06,-1.616086494357709e-12
0.0601,-1.61823158283355e-12
0.0602,-1.620375459765982e-12
0.0603,-1.622518125885493e-12
0.0604,-1.624659581922121e-12
0.0605,-1.626799828605464e-12
0.0606,-1.628938866664671e-12
0.0607,-1.631076696828449e-12
0.0608,-1.633213319825061e-12
0.0609,-1.635348736382325e-12
0.061,-1.637482947227614e-12
0.0611,-1.639615953087862e-12
0.0612,-1.641747754689553e-12
0.0613,-1.643878352758735e-12
0.0614,-1.646007748021009e-12
0.0615,-1.648135941201518e-12
0.0616,-1.650262933024981e-12
0.0617,-1.652388724215682e-12
