"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0219,-3.283990360512587e-13,-2.582346688576525e-11,-3.283990360512587e-13,-2.582346688576525e-11
0.022,-3.304234013890299e-13,-2.576685144430298e-11,-3.304234013890299e-13,-2.576685144430298e-11
0.0221,-3.324349209261582e-13,-2.571059119276132e-11,-3.324349209261582e-13,-2.571059119276132e-11
0.0222,-3.344335336106413e-13,-2.565468224056632e-11,-3.344335336106413e-13,-2.565468224056632e-11
0.0223,-3.364191780897618e-13,-2.559912114649909e-11,-3.364191780897618e-13,-2.559912114649909e-11
0.0224,-3.383917972672246e-13,-2.554390450754737e-11,-3.383917972672246e-13,-2.554390450754737e-11
0.0225,-3.403513382447655e-13,-2.548902895820682e-11,-3.403513382447655e-13,-2.548902895820682e-11
0.0226,-3.422977522639368e-13,-2.54344911697883e-11,-3.422977522639368e-13,-2.54344911697883e-11
0.0227,-3.442309946480618e-13,-2.5380287849731e-11,-3.442309946480618e-13,-2.5380287849731e-11
0.0228,-3.461510194338176e-13,-2.532641652530013e-11,-3.461510194338176e-13,-2.532641652530013e-11
0.0229,-3.480577916008286e-13,-2.527287372752582e-11,-3.480577916008286e-13,-2.527287372752582e-11
0.023,-3.499512777610174e-13,-2.521965635784508e-11,-3.499512777610174e-13,-2.521965635784508e-11
0.0231,-3.518314479213107e-13,-2.516676141838354e-11,-3.518314479213107e-13,-2.516676141838354e-11
0.0232,-3.536982757380086e-13,-2.511418596523155e-11,-3.536982757380086e-13,-2.511418596523155e-11
0.0233,-3.55551738451103e-13,-2.506192710902863e-11,-3.55551738451103e-13,-2.506192710902863e-11
0.0234,-3.573918168187028e-13,-2.500998201555466e-11,-3.573918168187028e-13,-2.500998201555466e-11
0.0235,-3.592184932129333e-13,-2.495834691735264e-11,-3.592184932129333e-13,-2.495834691735264e-11
0.0236,-3.61031755032771e-13,-2.490701898661629e-11,-3.61031755032771e-13,-2.490701898661629e-11
0.0237,-3.628315933163033e-13,-2.485599562306921e-11,-3.628315933163033e-13,-2.485599562306921e-11
0.0238,-3.646180017474923e-13,-2.480527395568817e-11,-3.646180017474923e-13,-2.480527395568817e-11
0.0239,-3.663909771338532e-13,-2.47548511354894e-11,-3.663909771338532e-13,-2.47548511354894e-11
0.024,-3.681505193373077e-13,-2.470472433401483e-11,-3.681505193373077e-13,-2.470472433401483e-11
0.0241,-3.698966312050946e-13,-2.465489074182106e-11,-3.698966312050946e-13,-2.465489074182106e-11
0.0242,-3.71629318404421e-13,-2.460534786682024e-11,-3.71629318404421e-13,-2.460534786682024e-11
0.0243,-3.733485894599028e-13,-2.455609319439685e-11,-3.733485894599028e-13,-2.455609319439685e-11
0.0244,-3.750544557956099e-13,-2.45071238458782e-11,-3.750544557956099e-13,-2.45071238458782e-11
0.0245,-3.767469314697552e-13,-2.445843718889717e-11,-3.767469314697552e-13,-2.445843718889717e-11
0.0246,-3.784260331750307e-13,-2.441003061875029e-11,-3.784260331750307e-13,-2.441003061875029e-11
0.0247,-3.800917801693373e-13,-2.436190155786936e-11,-3.800917801693373e-13,-2.436190155786936e-11
0.0248,-3.817441942065407e-13,-2.431404745529663e-11,-3.817441942065407e-13,-2.431404745529663e-11
0.0249,-3.833832997775835e-13,-2.426646596213587e-11,-3.833832997775835e-13,-2.426646596213587e-11
0.025,-3.850091242586998e-13,-2.421915505519112e-11,-3.850091242586998e-13,-2.421915505519112e-11
0.0251,-3.866216961120601e-13,-2.417211205497898e-11,-3.866216961120601e-13,-2.417211205497898e-11
0.0252,-3.882210465916354e-13,-2.412533463138615e-11,-3.882210465916354e-13,-2.412533463138615e-11
0.0253,-3.898072091304268e-13,-2.407882049526239e-11,-3.898072091304268e-13,-2.407882049526239e-11
0.0254,-3.913802192729764e-13,-2.403256739894246e-11,-3.913802192729764e-13,-2.403256739894246e-11
0.0255,-3.929401146078788e-13,-2.398657313677275e-11,-3.929401146078788e-13,-2.398657313677275e-11
0.0256,-3.944869348648163e-13,-2.39408354594204e-11,-3.944869348648163e-13,-2.39408354594204e-11
0.0257,-3.960207236915207e-13,-2.38953511071679e-11,-3.960207236915207e-13,-2.38953511071679e-11
0.0258,-3.975415234808822e-13,-2.385011848592531e-11,-3.975415234808822e-13,-2.385011848592531e-11
0.0259,-3.990493797091991e-13,-2.380513535953947e-11,-3.990493797091991e-13,-2.380513535953947e-11
