"time","ca.cyto.c.c","ca.jsr.c.c","ca.nsr.c.c","ca.sub.c.c","cal.i","naca.i"
0.0664,0.0007005206980024723,0.04691084383432108,1.215988715204664,0.0006477519741587275,-3.6905759618255e-11,-2.845287980739974e-11
0.0665,0.0007001378293883761,0.04694410914843072,1.216056436276057,0.0006473482070093962,-3.686155677232543e-11,-2.843077838438334e-11
0.06660000000000001,0.0006997555284130286,0.04697741034017123,1.216124083516245,0.0006469450947297307,-3.68173803606036e-11,-2.840869017846929e-11
0.0667,0.0006993737928098023,0.04701074729244292,1.216191657004779,0.0006465426343942055,-3.677323041498567e-11,-2.838661520560564e-11
0.0668,0.0006989926203237251,0.04704411988904665,1.216259156820916,0.0006461408230932444,-3.672910696727237e-11,-2.836455348169272e-11
0.0669,0.0006986120087114383,0.04707752801468069,1.21632658304362,0.0006457396579331197,-3.668501004916913e-11,-2.834250502258318e-11
0.067,0.0006982319557411474,0.04711097155493744,1.216393935751565,0.0006453391360358411,-3.664093969228606e-11,-2.832046984408204e-11
0.06710000000000001,0.0006978524591924549,0.04714445039628613,1.216461215023135,0.0006449392545390637,-3.659689592813795e-11,-2.829844796194663e-11
0.0672,0.0006974735168563695,0.0471779644260761,1.216528420936427,0.0006445400105959765,-3.655287878814437e-11,-2.827643939188671e-11
0.0673,0.0006970951265352799,0.04721151353253482,1.216595553569249,0.00064414140137545,-3.650888830362958e-11,-2.825444414956434e-11
0.0674,0.0006967172860427914,0.0472450976047525,1.216662612999127,0.0006437434240615616,-3.646492450582262e-11,-2.823246225059401e-11
0.0675,0.0006963399932036991,0.04727871653268039,1.2167295993033,0.0006433460758536572,-3.642098742585737e-11,-2.821049371054257e-11
0.06759999999999999,0.0006959632458539478,0.04731237020712701,1.216796512558725,0.0006429493539663239,-3.637707709477251e-11,-2.818853854492934e-11
0.0677,0.0006955870418405888,0.04734605851975383,1.216863352842078,0.0006425532556293276,-3.633319354351155e-11,-2.8166596769226e-11
0.0678,0.0006952113790216134,0.04737978136306312,1.216930120229755,0.0006421577780873243,-3.628933680292292e-11,-2.814466839885672e-11
0.0679,0.0006948362552659672,0.04741353863039744,1.21699681479787,0.0006417629185999208,-3.624550690375995e-11,-2.812275344919809e-11
0.068,0.0006944616684535249,0.04744733021593887,1.217063436622264,0.0006413686744414591,-3.620170387668085e-11,-2.810085193557916e-11
0.06809999999999999,0.0006940876164749331,0.04748115601469417,1.217129985778497,0.0006409750429010425,-3.615792775224882e-11,-2.807896387328147e-11
0.0682,0.0006937140972315835,0.04751501592249306,1.217196462341857,0.0006405820212823902,-3.611417856093202e-11,-2.805708927753902e-11
0.0683,0.0006933411086355742,0.0475489098359857,1.217262866387357,0.0006401896069037803,-3.607045633310368e-11,-2.803522816353838e-11
0.0684,0.0006929686486096663,0.04758283765264003,1.217329197989738,0.0006397977970980496,-3.602676109904199e-11,-2.801338054641857e-11
0.06850000000000001,0.0006925967150871332,0.04761679927072549,1.217395457223466,0.0006394065892122314,-3.598309288893024e-11,-2.799154644127115e-11
0.06859999999999999,0.000692225306011767,0.04765079458931633,1.217461644162742,0.0006390159806076779,-3.593945173285683e-11,-2.796972586314026e-11
0.0687,0.0006918544193378549,0.04768482350828764,1.217527758881495,0.0006386259686601409,-3.589583766081524e-11,-2.794791882702257e-11
0.0688,0.0006914840530300321,0.04771888592830487,1.217593801453386,0.0006382365507593492,-3.585225070270416e-11,-2.792612534786734e-11
0.0689,0.0006911142050632536,0.04775298175082051,1.217659771951811,0.0006378477243090505,-3.580869088832738e-11,-2.790434544057639e-11
0.06900000000000001,0.000690744873422759,0.04778711087807084,1.217725670449899,0.0006374594867269397,-3.576515824739396e-11,-2.788257912000417e-11
