"time","vc.v_stim","vc.i","vc.is_end","vc.is_peak","vc.is_tail","vc.v_pulse","vc.vs_end","vc.vs_tail","vc.v","vc.vs_peak"
1.54,-0.04,2.387142227251589e-12,0,0,0,-0.04,0,0,-0.04,0
1.55,-0.04,2.378938667947963e-12,0,0,0,-0.04,0,0,-0.04,0
1.56,-0.04,2.370880877391229e-12,0,0,0,-0.04,0,0,-0.04,0
1.57,-0.04,2.36296532819183e-12,0,0,0,-0.04,0,0,-0.04,0
1.58,-0.04,2.355188615368174e-12,0,0,0,-0.04,0,0,-0.04,0
1.59,-0.04,2.347547451021953e-12,0,0,0,-0.04,0,0,-0.04,0
1.6,-0.04,2.340038659270227e-12,0,0,0,-0.04,0,0,-0.04,0
1.61,-0.04,2.332659171415579e-12,0,0,0,-0.04,0,0,-0.04,0
1.62,-0.04,2.32540602134483e-12,0,0,0,-0.04,0,0,-0.04,0
1.63,-0.04,2.31827634114852e-12,0,0,0,-0.04,0,0,-0.04,0
1.64,-0.04,2.311267356945468e-12,0,0,0,-0.04,0,0,-0.04,0
1.65,-0.04,2.30437638490383e-12,0,0,0,-0.04,0,0,-0.04,0
1.66,-0.04,2.29760082745199e-12,0,0,0,-0.04,0,0,-0.04,0
1.67,-0.04,2.290938169666176e-12,0,0,0,-0.04,0,0,-0.04,0
1.68,-0.04,2.284385975827047e-12,0,0,0,-0.04,0,0,-0.04,0
1.69,-0.04,2.27794188613953e-12,0,0,0,-0.04,0,0,-0.04,0
1.7,-0.04,2.271603613605008e-12,0,0,0,-0.04,0,0,-0.04,0
1.71,-0.04,2.265368941038851e-12,0,0,0,-0.04,0,0,-0.04,0
1.72,-0.04,2.259235718228347e-12,0,0,0,-0.04,0,0,-0.04,0
1.73,-0.04,2.253201859222033e-12,0,0,0,-0.04,0,0,-0.04,0
1.74,-0.04,2.247265339744084e-12,0,0,0,-0.04,0,0,-0.04,0
1.75,-0.04,2.241424194733664e-12,0,0,0,-0.04,0,0,-0.04,0
1.76,-0.04,2.235676515998967e-12,0,0,0,-0.04,0,0,-0.04,0
1.77,-0.04,2.23002044993288e-12,0,0,0,-0.04,0,0,-0.04,0
1.78,-0.04,2.224454195429734e-12,0,0,0,-0.04,0,0,-0.04,0
1.79,-0.04,2.218976001793422e-12,0,0,0,-0.04,0,0,-0.04,0
1.8,-0.04,2.213584166829667e-12,0,0,0,-0.04,0,0,-0.04,0
1.81,-0.04,2.208277034964288e-12,0,0,0,-0.04,0,0,-0.04,0
1.82,-0.04,2.203052995474044e-12,0,0,0,-0.04,0,0,-0.04,0
1.83,-0.04,2.197910480787627e-12,0,0,0,-0.04,0,0,-0.04,0
1.84,-0.04,2.192847964869145e-12,0,0,0,-0.04,0,0,-0.04,0
1.85,-0.04,2.18786396166841e-12,0,0,0,-0.04,0,0,-0.04,0
1.86,-0.04,2.18295702364959e-12,0,0,0,-0.04,0,0,-0.04,0
1.87,-0.04,2.178125740378601e-12,0,0,0,-0.04,0,0,-0.04,0
1.88,-0.04,2.173368737175052e-12,0,0,0,-0.04,0,0,-0.04,0
1.89,-0.04,2.168684673824415e-12,0,0,0,-0.04,0,0,-0.04,0
1.9,-0.04,2.164072243347157e-12,0,0,0,-0.04,0,0,-0.04,0
1.91,-0.04,2.159530170822192e-12,0,0,0,-0.04,0,0,-0.04,0
1.92,-0.04,2.155057212261881e-12,0,0,0,-0.04,0,0,-0.04,0
1.93,-0.04,2.150652153536178e-12,0,0,0,-0.04,0,0,-0.04,0
1.94,-0.04,2.146313809343588e-12,0,0,0,-0.04,0,0,-0.04,0
1.95,-0.04,2.142041022226754e-12,0,0,0,-0.04,0,0,-0.04,0
1.96,-0.04,2.13783266163056e-12,0,0,0,-0.04,0,0,-0.04,0
1.97,-0.04,2.133687623000698e-12,0,0,0,-0.04,0,0,-0.04,0
1.98,-0.04,2.129604826921336e-12,0,0,0,-0.04,0,0,-0.04,0
1.99,-0.04,2.125583218287213e-12,0,0,0,-0.04,0,0,-0.04,0
2,-0.04,2.121621765514149e-12,0,0,0,-0.04,0,0,-0.04,0
2.01,-0.04,2.117719459780897e-12,0,0,0,-0.04,0,0,-0.04,0
2.02,-0.04,2.113875314302905e-12,0,0,0,-0.04,0,0,-0.04,0
2.03,-0.04,2.110088363636546e-12,0,0,0,-0.04,0,0,-0.04,0
2.04,-0.04,2.106357663012216e-12,0,0,0,-0.04,0,0,-0.04,0
2.05,-0.04,2.102682287694937e-12,0,0,0,-0.04,0,0,-0.04,0
2.06,-0.04,2.099061332371185e-12,0,0,0,-0.04,0,0,-0.04,0
2.07,-0.04,2.095493910560733e-12,0,0,0,-0.04,0,0,-0.04,0
2.08,-0.04,2.091979154052319e-12,0,0,0,-0.04,0,0,-0.04,0
2.09,-0.04,2.088516212362063e-12,0,0,0,-0.04,0,0,-0.04,0
2.1,-0.04,2.085104252213565e-12,0,0,0,-0.04,0,0,-0.04,0
2.11,-0.04,2.081742457038673e-12,0,0,0,-0.04,0,0,-0.04,0
2.12,-0.04,2.078430026498189e-12,0,0,0,-0.04,0,0,-0.04,0
2.13,-0.04,2.07516617602069e-12,0,0,0,-0.04,0,0,-0.04,0
2.14,-0.04,2.071950136360039e-12,0,0,0,-0.04,0,0,-0.04,0
2.15,-0.04,2.068781153170113e-12,0,0,0,-0.04,0,0,-0.04,0
2.16,-0.04,2.065658486595354e-12,0,0,0,-0.04,0,0,-0.04,0
2.17,-0.04,2.062581410877168e-12,0,0,0,-0.04,0,0,-0.04,0
2.18,-0.04,2.059549213975221e-12,0,0,0,-0.04,0,0,-0.04,0
2.19,-0.04,2.056561197202972e-12,0,0,0,-0.04,0,0,-0.04,0
2.2,-0.04,2.0536166748768e-12,0,0,0,-0.04,0,0,-0.04,0
2.21,-0.04,2.050714973978104e-12,0,0,0,-0.04,0,0,-0.04,0
2.22,-0.04,2.047855433827814e-12,0,0,0,-0.04,0,0,-0.04,0
2.23,-0.04,2.04503740577274e-12,0,0,0,-0.04,0,0,-0.04,0
2.24,-0.04,2.042260252883245e-12,0,0,0,-0.04,0,0,-0.04,0
2.25,-0.04,2.039523349661742e-12,0,0,0,-0.04,0,0,-0.04,0
2.26,-0.04,2.036826081761577e-12,0,0,0,-0.04,0,0,-0.04,0
2.27,-0.04,2.034167845715718e-12,0,0,0,-0.04,0,0,-0.04,0
2.28,-0.04,2.031548048674685e-12,0,0,0,-0.04,0,0,-0.04,0
2.29,-0.04,2.028966108154202e-12,0,0,0,-0.04,0,0,-0.04,0
2.3,-0.04,2.026421451790874e-12,0,0,0,-0.04,0,0,-0.04,0
2.31,-0.04,2.023913517106346e-12,0,0,0,-0.04,0,0,-0.04,0
