"time","l2.v","act_steady","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
163,0.04300000000000014,0.8973658286187088,0.0006000792654856404,3.548366659687821e-06,0.01390347757797373,0.1000000002956911,0.04300000000000014,0.04300000000000014
164,0.04400000000000014,0.9028471968540909,0.0005997281680578932,3.013460975138939e-06,0.01385266044341572,0.1000000001915819,0.04400000000000014,0.04400000000000014
165,0.04500000000000014,0.9080658136302173,0.0005994072891391356,2.559190519853316e-06,0.01380391954741545,0.1000000001236328,0.04500000000000014,0.04500000000000014
166,0.04600000000000014,0.9130311120803745,0.0005991140278660135,2.173399862295343e-06,0.01375717010122354,0.1000000000794649,0.04600000000000014,0.04600000000000014
167,0.04700000000000015,0.9177525278962951,0.0005988460072263521,1.845765936559477e-06,0.01371233077544324,0.1000000000508721,0.04700000000000015,0.04700000000000015
168,0.04800000000000015,0.9222394548681427,0.0005986010547930806,1.567521827622127e-06,0.01366932355914809,0.1000000000324375,0.04800000000000015,0.04800000000000015
169,0.04900000000000015,0.9265012054543276,0.000598377185116228,1.331222192554268e-06,0.01362807362471623,0.1000000000206005,0.04900000000000015,0.04900000000000015
170,0.05000000000000016,0.9305469761353935,0.0005981725836303169,1.130544041935549e-06,0.01358850919815134,0.1000000000130308,0.05000000000000016,0.05000000000000016
171,0.05100000000000015,0.9343858172814529,0.0005979855919467531,9.601175515545872e-07,0.0135505614346687,0.1000000000082097,0.05100000000000015,0.05100000000000015
172,0.05200000000000016,0.9380266072459486,0.0005978146944120264,8.153823777992759e-07,0.01351416429933425,0.1000000000051516,0.05200000000000016,0.05200000000000016
173,0.05300000000000016,0.9414780303887911,0.0005976585058227894,6.924656324042122e-07,0.01347925445255257,0.1000000000032198,0.05300000000000016,0.05300000000000016
174,0.05400000000000015,0.9447485587281711,0.0005975157601982545,5.880782516666123e-07,0.01344577114020806,0.1000000000020043,0.05400000000000015,0.05400000000000015
175,0.05500000000000015,0.9478464369215828,0.0005973853005189139,4.994269873587912e-07,0.01341365608827129,0.1000000000012427,0.05500000000000015,0.05500000000000015
176,0.05600000000000013,0.9507796702819485,0.0005972660693484201,4.241396645124476e-07,0.01338285340169005,0.1000000000007674,0.05600000000000013,0.05600000000000013
177,0.05700000000000013,0.9535560155433901,0.000597157100262617,3.602017062041635e-07,0.01335330946739189,0.100000000000472,0.05700000000000013,0.05700000000000013
178,0.05800000000000012,0.9561829741024026,0.0005970575100162541,3.059022269256193e-07,0.01332497286123167,0.1000000000002892,0.05800000000000012,0.05800000000000012
179,0.05900000000000012,0.9586677874733519,0.0005969664913838973,2.597882521384972e-07,0.01329779425872458,0.1000000000001765,0.05900000000000012,0.05900000000000012
180,0.06000000000000011,0.9610174347117348,0.0005968833066170073,2.206258390411301e-07,0.01327172634941137,0.1000000000001072,0.06000000000000011,0.06000000000000011
181,0.06100000000000011,0.9632386315740677,0.0005968072814641561,1.873670582274398e-07,0.01324672375470851,0.1000000000000649,0.06100000000000011,0.06100000000000011
182,0.0620000000000001,0.965337831199178,0.0005967377997059147,1.591219527384912e-07,0.01322274294910222,0.1000000000000391,0.0620000000000001,0.0620000000000001
