"time","vc.v_stim","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
29.7,-0.05,-1.712327673403991e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.8,-0.05,-1.702314044905566e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
29.9,-0.05,-1.693135314527538e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30,-0.05,-1.684721871627945e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.1,-0.05,-1.677009909457309e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.2,-0.05,-1.669940941229919e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.3,-0.05,-1.663461356568744e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.4,-0.05,-1.657522014924626e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.5,-0.05,-1.652077872896804e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.6,-0.05,-1.647087642633569e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.7,-0.05,-1.642513478706705e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.8,-0.05,-1.638320691093929e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
30.9,-0.05,-1.634477482095066e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31,-0.05,-1.630954705180664e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.1,-0.05,-1.627725643948135e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.2,-0.05,-1.624765809505593e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.3,-0.05,-1.622052754751494e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.4,-0.05,-1.619565904138807e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.5,-0.05,-1.617286397630056e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.6,-0.05,-1.615196947665771e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.7,-0.05,-1.613281708057417e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.8,-0.05,-1.611526153811268e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
31.9,-0.05,-1.609916970971607e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32,-0.05,-1.608441955649612e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.1,-0.05,-1.607089921470558e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.2,-0.05,-1.605850614736358e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.3,-0.05,-1.604714636663228e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.4,-0.05,-1.60367337210219e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.5,-0.05,-1.602718924202548e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.6,-0.05,-1.601844054522604e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.7,-0.05,-1.601042128134338e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.8,-0.05,-1.600307063304945e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
32.9,-0.05,-1.599633285372954e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33,-0.05,-1.599015684470949e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.1,-0.05,-1.598449576772808e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.2,-0.05,-1.597930668971965e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.3,-0.05,-1.597455025721228e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.4,-0.05,-1.597019039787654e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.5,-0.05,-1.596619404695745e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.6,-0.05,-1.596253089651123e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.7,-0.05,-1.595917316556e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.8,-0.05,-1.59560953894676e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
33.9,-0.05,-1.595327422644473e-12,-8.440943071530493e-11,-0.115,-0.12,-0.05
