"time","l2.v","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
17.4,-0.05,-1.592224627092682e-12,0,-0.12,0,-0.05
17.5,-0.05,-1.592224677518486e-12,0,-0.12,0,-0.05
17.6,-0.05,-1.592224727944289e-12,0,-0.12,0,-0.05
17.7,-0.05,-1.592224778370093e-12,0,-0.12,0,-0.05
17.8,-0.05,-1.592224828795896e-12,0,-0.12,0,-0.05
17.9,-0.05,-1.5922248792217e-12,0,-0.12,0,-0.05
18,-0.05,-1.592224929647503e-12,0,-0.12,0,-0.05
18.1,-0.05,-1.592224980073307e-12,0,-0.12,0,-0.05
18.2,-0.05,-1.59222503049911e-12,0,-0.12,0,-0.05
18.3,-0.05,-1.592225080924914e-12,0,-0.12,0,-0.05
18.4,-0.05,-1.592225131350717e-12,0,-0.12,0,-0.05
18.5,-0.05,-1.59222518177652e-12,0,-0.12,0,-0.05
18.6,-0.05,-1.592225232202324e-12,0,-0.12,0,-0.05
18.7,-0.05,-1.592225282628127e-12,0,-0.12,0,-0.05
18.8,-0.05,-1.592225311055773e-12,0,-0.12,0,-0.05
18.9,-0.05,-1.592225323426628e-12,0,-0.12,0,-0.05
19,-0.05,-1.592225335797484e-12,0,-0.12,0,-0.05
19.1,-0.05,-1.59222534816834e-12,0,-0.12,0,-0.05
19.2,-0.05,-1.592225360539196e-12,0,-0.12,0,-0.05
19.3,-0.05,-1.592225372910052e-12,0,-0.12,0,-0.05
19.4,-0.05,-1.592225385280907e-12,0,-0.12,0,-0.05
19.5,-0.05,-1.592225397651763e-12,0,-0.12,0,-0.05
19.6,-0.05,-1.592225410022619e-12,0,-0.12,0,-0.05
19.7,-0.05,-1.592225422393475e-12,0,-0.12,0,-0.05
19.8,-0.05,-1.59222543476433e-12,0,-0.12,0,-0.05
19.9,-0.05,-1.592225447135186e-12,0,-0.12,0,-0.05
20,-0.05,-1.592225459506042e-12,0,-0.12,0,-0.05
20,-0.12,-7.165014567777188e-12,0,-0.12,0,-0.12
20.1,-0.12,-3.156080709901367e-11,0,-0.12,0,-0.12
20.2,-0.12,-4.82517285448311e-11,0,-0.12,0,-0.12
20.3,-0.12,-5.967119501228271e-11,0,-0.12,0,-0.12
20.4,-0.12,-6.748410344552799e-11,0,-0.12,0,-0.12
20.5,-0.12,-7.282952373738393e-11,0,-0.12,0,-0.12
20.6,-0.12,-7.64867371077416e-11,0,-0.12,0,-0.12
20.7,-0.12,-7.898891447608011e-11,0,-0.12,0,-0.12
20.8,-0.12,-8.070084672915119e-11,0,-0.12,0,-0.12
20.9,-0.12,-8.187210080012582e-11,0,-0.12,0,-0.12
21,-0.12,-8.2673400762826e-11,0,-0.12,0,-0.12
21.1,-0.12,-8.32216311031297e-11,0,-0.12,0,-0.12
21.2,-0.12,-8.359673587603808e-11,0,-0.12,0,-0.12
21.3,-0.12,-8.385338229701185e-11,0,-0.12,0,-0.12
21.4,-0.12,-8.402898305287603e-11,0,-0.12,0,-0.12
21.5,-0.12,-8.414913138392949e-11,0,-0.12,0,-0.12
21.6,-0.12,-8.423133746638701e-11,0,-0.12,0,-0.12
21.7,-0.12,-8.428758386248015e-11,0,-0.12,0,-0.12
21.8,-0.12,-8.432606821153777e-11,0,-0.12,0,-0.12
21.9,-0.12,-8.435239625362226e-11,0,-0.12,0,-0.12
22,-0.12,-8.437038745991738e-11,0,-0.12,0,-0.12
22.1,-0.12,-8.438269441346505e-11,0,-0.12,0,-0.12
22.2,-0.12,-8.439111509615244e-11,0,-0.12,0,-0.12
22.3,-0.12,-8.439688806237093e-11,0,-0.12,0,-0.12
22.4,-0.12,-8.44008456436006e-11,0,-0.12,0,-0.12
22.5,-0.12,-8.440355579910183e-11,0,-0.12,0,-0.12
22.6,-0.12,-8.440541061543793e-11,0,-0.12,0,-0.12
22.7,-0.12,-8.440668130637817e-11,0,-0.12,0,-0.12
22.8,-0.12,-8.440755311837486e-11,0,-0.12,0,-0.12
22.9,-0.12,-8.440815114653861e-11,0,-0.12,0,-0.12
23,-0.12,-8.440856046257153e-11,0,-0.12,0,-0.12
23.1,-0.12,-8.44088362468916e-11,0,-0.12,0,-0.12
23.2,-0.12,-8.440901702015379e-11,0,-0.12,0,-0.12
23.3,-0.12,-8.440914509096049e-11,0,-0.12,0,-0.12
23.4,-0.12,-8.440924066611788e-11,0,-0.12,0,-0.12
23.5,-0.12,-8.44093012735573e-11,0,-0.12,0,-0.12
23.6,-0.12,-8.440934729926324e-11,0,-0.12,0,-0.12
23.7,-0.12,-8.440938169828052e-11,0,-0.12,0,-0.12
23.8,-0.12,-8.440940509477518e-11,0,-0.12,0,-0.12
23.9,-0.12,-8.440942136490224e-11,0,-0.12,0,-0.12
24,-0.12,-8.440943253302778e-11,0,-0.12,0,-0.12
24,-0.05,-1.875765167400618e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.00000000050017,-0.05,-1.875765166653175e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.00000000050017,-0.05,-1.875765166653175e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.1,-0.05,-1.732644701030084e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.2,-0.05,-1.601460642433249e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.3,-0.05,-1.48121397218717e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.4,-0.05,-1.370992494199908e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.5,-0.05,-1.269959325916393e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.6,-0.05,-1.177349927666844e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.7,-0.05,-1.092463613002723e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.8,-0.05,-1.014654978849426e-11,-8.440943253302778e-11,-0.115,-0.12,-0.05
24.9,-0.05,-9.433323614198954e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25,-0.05,-8.77955598342454e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.1,-0.05,-8.180298237515126e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.2,-0.05,-7.631006450235152e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.3,-0.05,-7.127505611739216e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.4,-0.05,-6.665987862033338e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.5,-0.05,-6.242955195418843e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.6,-0.05,-5.855193430587888e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.7,-0.05,-5.499756761790652e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.8,-0.05,-5.173957195473094e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
25.9,-0.05,-4.875320918143353e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26,-0.05,-4.601581464668279e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.1,-0.05,-4.350669278933232e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.2,-0.05,-4.120676885150712e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.3,-0.05,-3.909858347789093e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.4,-0.05,-3.7166191466112e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.5,-0.05,-3.539491443029725e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.6,-0.05,-3.37712981162714e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.7,-0.05,-3.228305978871028e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.8,-0.05,-3.091889150898835e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
26.9,-0.05,-2.96684774735809e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27,-0.05,-2.852231585994658e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.1,-0.05,-2.747174033121064e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.2,-0.05,-2.650876701909626e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.3,-0.05,-2.562611382638461e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.4,-0.05,-2.481704384636181e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.5,-0.05,-2.407544806233041e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.6,-0.05,-2.339566381929036e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.7,-0.05,-2.277255753632848e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.8,-0.05,-2.220146403604121e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
27.9,-0.05,-2.167798758726415e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28,-0.05,-2.119815047666913e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.1,-0.05,-2.075827326250277e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.2,-0.05,-2.035507140203973e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.3,-0.05,-1.998544727581975e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.4,-0.05,-1.96467027128013e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
