"time","an.cell.l2.v","n.cell.l2.v","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0.0145,-0.03381126882209586,-0.05710543063657878,-0.02991914614629491,-0.03381126882209586,-0.05710543063657878,-0.02991914614629491
0.0146,-0.03229755473545973,-0.05702067533363941,-0.02785453891926201,-0.03229755473545973,-0.05702067533363941,-0.02785453891926201
0.0147,-0.03049473585492281,-0.05693680367417901,-0.02542402622090819,-0.03049473585492281,-0.05693680367417901,-0.02542402622090819
0.0148,-0.02833014146104585,-0.05685380418112889,-0.0226089549123196,-0.02833014146104585,-0.05685380418112889,-0.0226089549123196
0.0149,-0.02573181204019011,-0.05677166553880118,-0.01945879321295874,-0.02573181204019011,-0.05677166553880118,-0.01945879321295874
0.015,-0.02265975732368466,-0.05669037659050198,-0.01612069994680849,-0.02265975732368466,-0.05669037659050198,-0.01612069994680849
0.0151,-0.01916120764212092,-0.05660992633618062,-0.01281895844042919,-0.01916120764212092,-0.05660992633618062,-0.01281895844042919
0.0152,-0.0154217752205427,-0.05653030393011409,-0.009770681682301585,-0.0154217752205427,-0.05653030393011409,-0.009770681682301585
0.0153,-0.0117398047410341,-0.05645149867862682,-0.007101628160216962,-0.0117398047410341,-0.05645149867862682,-0.007101628160216962
0.0154,-0.00839674166751426,-0.05637350003784457,-0.004830447978944683,-0.00839674166751426,-0.05637350003784457,-0.004830447978944683
0.0155,-0.005537612985111067,-0.05629629761148222,-0.002907279914788512,-0.005537612985111067,-0.05629629761148222,-0.002907279914788512
0.0156,-0.003166391265903473,-0.05621988114866486,-0.001257318992526902,-0.003166391265903473,-0.05621988114866486,-0.001257318992526902
0.0157,-0.001210895715032787,-0.0561442405417816,0.0001929898634153459,-0.001210895715032787,-0.0561442405417816,0.0001929898634153459
0.0158,0.0004204261582667983,-0.05606936582437191,0.001505227016329306,0.0004204261582667983,-0.05606936582437191,0.001505227016329306
0.0159,0.001810695050831173,-0.05599524716904359,0.002726632653042408,0.001810695050831173,-0.05599524716904359,0.002726632653042408
0.016,0.003026056657205633,-0.05592187488542194,0.003891208832651468,0.003026056657205633,-0.05592187488542194,0.003891208832651468
0.0161,0.004115610827252669,-0.05584923941813012,0.005021891106721376,0.004115610827252669,-0.05584923941813012,0.005021891106721376
0.0162,0.00511411272340934,-0.05577733134479952,0.006132808709272525,0.00511411272340934,-0.05577733134479952,0.006132808709272525
0.0163,0.006045127655965079,-0.05570614137411016,0.007231302085910647,0.006045127655965079,-0.05570614137411016,0.007231302085910647
0.0164,0.006923857527536257,-0.05563566034386069,0.008319630218682258,0.006923857527536257,-0.05563566034386069,0.008319630218682258
0.0165,0.007759452617784128,-0.05556587921906713,0.00939639214478308,0.007759452617784128,-0.05556587921906713,0.00939639214478308
