"time","an.cell.ca.cyto.c.c","an.cell.ca.sub.c.c","an.cell.l2.v","n.cell.ca.cyto.c.c","n.cell.ca.sub.c.c","n.cell.l2.v","nh.cell.ca.cyto.c.c","nh.cell.ca.sub.c.c","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0.0524,0.0001057679934666274,6.369513826542768e-05,-0.06546645845378642,0.0005160520641147515,0.0003522116801225952,-0.05502214461568729,0.000121113061793181,7.468396815420786e-05,-0.06253511235517407,-0.06546645845378642,-0.05502214461568729,-0.06253511235517407
0.0525,0.0001057468457944394,6.369449958334232e-05,-0.06546076178283164,0.0005155818314342247,0.0003519108812399911,-0.05501988022196243,0.000121087913899559,7.468241910499299e-05,-0.06252991557585429,-0.06546076178283164,-0.05501988022196243,-0.06252991557585429
0.0526,0.0001057256954992813,6.369381767545679e-05,-0.06545509928115253,0.0005151129054235621,0.0003516110204287968,-0.05501761144863802,0.0001210627622020609,7.468081928297115e-05,-0.06252475128093538,-0.06545509928115253,-0.05501761144863802,-0.06252475128093538
0.0527,0.0001057045425913056,6.369309276429354e-05,-0.06544947075481898,0.0005146452801560122,0.0003513120934737391,-0.05501533821771337,0.0001210376067214438,7.467916896738996e-05,-0.06251961927359483,-0.06544947075481898,-0.05501533821771337,-0.06251961927359483
0.0528,0.0001056833870809194,6.369232507136692e-05,-0.06544387601105915,0.0005141789497394929,0.0003510140961826858,-0.05501306045246853,0.000121012447478732,7.46774684361282e-05,-0.06251451935827036,-0.06544387601105915,-0.05501306045246853,-0.06251451935827036
0.0529,0.0001056622289787803,6.369151481718783e-05,-0.06543831485825172,0.0005137139083163457,0.0003507170243864995,-0.05501077807744896,0.0001209872844952127,7.467571796570281e-05,-0.06250945134065089,-0.06543831485825172,-0.05501077807744896,-0.06250945134065089
0.053,0.0001056410682957936,6.369066222126764e-05,-0.06543278710591839,0.0005132501500630915,0.0003504208739388927,-0.05500849101845025,0.0001209621177924323,7.467391783127528e-05,-0.06250441502766772,-0.06543278710591839,-0.05500849101845025,-0.06250441502766772
0.0531,0.0001056199050431089,6.36897675021226e-05,-0.06542729256471642,0.0005127876691901874,0.0003501256407162834,-0.05500619920250298,0.0001209369473921918,7.467206830665805e-05,-0.06249941022748567,-0.06542729256471642,-0.05500619920250298,-0.06249941022748567
0.0532,0.0001055987392321162,6.368883087727751e-05,-0.06542183104643116,0.0005123264599417901,0.0003498313206176552,-0.05500390255785795,0.0001209117733165437,7.467016966432048e-05,-0.06249443674949433,-0.06542183104643116,-0.05500390255785795,-0.06249443674949433
0.0533,0.0001055775708744434,6.36878525632697e-05,-0.06541640236396869,0.000511866516595516,0.0003495379095644124,-0.05500160101397138,0.0001208865955877873,7.466822217539532e-05,-0.06248949440429938,-0.06541640236396869,-0.05500160101397138,-0.06248949440429938
0.0534,0.0001055563999819524,6.368683277565364e-05,-0.06541100633134847,0.0005114078334622061,0.0003492454035002399,-0.05499929450149034,0.0001208614142284651,7.466622610968545e-05,-0.06248458300371403,-0.06541100633134847,-0.05499929450149034,-0.06248458300371403
0.0535,0.0001055352265667363,6.368577172900466e-05,-0.06540564276369616,0.0005109504048856922,0.0003489537983909638,-0.05499698295223838,0.000120836229261359,7.46641817356699e-05,-0.06247970236075043,-0.06540564276369616,-0.05499698295223838,-0.06247970236075043
0.0536,0.0001055140506411159,6.368466963692296e-05,-0.06540031147723629,0.0005104942252425651,0.0003486630902244137,-0.05499466629920126,0.0001208110407094865,7.466208932050996e-05,-0.06247485228961124,-0.06540031147723629,-0.05499466629920126,-0.06247485228961124
0.0537,0.0001054928722176368,6.36835267120375e-05,-0.06539501228928522,0.0005100392889419458,0.0003483732750102842,-0.05499234447651297,0.0001207858485960969,7.465994913005521e-05,-0.0624700326056812,-0.06539501228928522,-0.05499234447651297,-0.0624700326056812
0.0538,0.000105471691309066,6.368234316601023e-05,-0.06538974501824386,0.0005095855904252568,0.0003480843487799977,-0.05499001741944168,0.0001207606529446675,7.465776142885035e-05,-0.06246524312551885,-0.06538974501824386,-0.05499001741944168,-0.06246524312551885
0.0539,0.0001054505079283889,6.368111920954012e-05,-0.0653845094835908,0.0005091331241659965,0.0003477963075865694,-0.05498768506437614,0.0001207354537788997,7.465552648014095e-05,-0.06246048366684824,-0.0653845094835908,-0.05498768506437614,-0.06246048366684824
0.054,0.0001054293220888061,6.367985505236699e-05,-0.06537930550587528,0.0005086818846695151,0.0003475091475044719,-0.05498534734881189,0.0001207102511227158,7.465324454587952e-05,-0.0624557540485507,-0.06537930550587528,-0.05498534734881189,-0.0624557540485507
0.0541,0.0001054081338037306,6.367855090327536e-05,-0.06537413290671014,0.0005082318664727919,0.0003472228646295033,-0.05498300421133798,0.0001206850450002549,7.46509158867315e-05,-0.06245105409065677,-0.06537413290671014,-0.05498300421133798,-0.06245105409065677
0.0542,0.0001053869430867846,6.367720697009839e-05,-0.06536899150876498,0.0005077830641442168,0.0003469374550786519,-0.05498065559162359,0.0001206598354358698,7.464854076208184e-05,-0.06244638361433819,-0.06536899150876498,-0.05498065559162359,-0.06244638361433819
0.0543,0.0001053657499517962,6.367582345972223e-05,-0.06536388113575931,0.0005073354722833703,0.0003466529149899658,-0.05497830143040498,0.0001206346224541227,7.464611943004064e-05,-0.06244174244189973,-0.06536388113575931,-0.05497830143040498,-0.06244174244189973
0.0544,0.0001053445544127973,6.367440057808957e-05,-0.06535880161245583,0.0005068890855208076,0.0003463692405224218,-0.05497594166947235,0.0001206094060797826,7.464365214744923e-05,-0.06243713039677146,-0.06535880161245583,-0.05497594166947235,-0.06243713039677146
0.0545,0.0001053233564840194,6.367293853020354e-05,-0.06535375276465348,0.0005064438985178438,0.0003460864278557956,-0.05497357625165708,0.0001205841863378209,7.464113916988607e-05,-0.06243254730350074,-0.06535375276465348,-0.05497357625165708,-0.06243254730350074
0.0546,0.0001053021561798919,6.367143752013155e-05,-0.06534873441918108,0.00050599990596634,0.0003458044731905325,-0.05497120512081904,0.0001205589632534086,7.463858075167289e-05,-0.06242799298774447,-0.06534873441918108,-0.05497120512081904,-0.06242799298774447
0.0547,0.0001052809535150383,6.366989775100951e-05,-0.0653437464038903,0.0005055571025884946,0.0003455233727476195,-0.05496882822183406,0.0001205337368519126,7.463597714588048e-05,-0.06242346727626142,-0.0653437464038903,-0.05496882822183406,-0.06242346727626142
0.0548,0.0001052597485042738,6.366831942504531e-05,-0.06533878854764932,0.0005051154831366299,0.0003452431227684581,-0.05496644550058134,0.0001205085071588922,7.463332860433472e-05,-0.06241896999690436,-0.06533878854764932,-0.05496644550058134,-0.06241896999690436
0.0549,0.0001052385411626023,6.366670274352289e-05,-0.0653338606803362,0.0005046750423929882,0.0003449637195147374,-0.05496405690393136,0.000120483274200096,7.463063537762226e-05,-0.06241450097861266,-0.0653338606803362,-0.05496405690393136,-0.06241450097861266
0.055,0.0001052173315052137,6.366504790680588e-05,-0.06532896263283236,0.0005042357751695234,0.00034468515926831,-0.05496166237973372,0.0001204580380014582,7.462789771509634e-05,-0.06241006005140459,-0.06532896263283236,-0.05496166237973372,-0.06241006005140459
0.0551,0.000105196119547481,6.36633551143417e-05,-0.06532409423701624,0.0005037976763076981,0.0003444074383310666,-0.05495926187680502,0.0001204327985890959,7.462511586488293e-05,-0.06240564704636992,-0.06532409423701624,-0.05495926187680502,-0.06240564704636992
0.0552,0.0001051749053049576,6.366162456466509e-05,-0.06531925532575664,0.0005033607406782792,0.0003441305530248127,-0.05495685534491712,0.0001204075559893052,7.462229007388621e-05,-0.06240126179566239,-0.06531925532575664,-0.05495685534491712,-0.06240126179566239
0.0553,0.0001051536887933743,6.365985645540204e-05,-0.06531444573290665,0.0005029249631811393,0.0003438544996911452,-0.05495444273478535,0.0001203823102285584,7.461942058779434e-05,-0.06239690413249241,-0.06531444573290665,-0.05495444273478535,-0.06239690413249241
0.0554,0.0001051324700286371,6.365805098327352e-05,-0.06530966529329722,0.0005024903387450551,0.0003435792746913321,-0.05495202399805694,0.0001203570613335004,7.461650765108536e-05,-0.06239257389111973,-0.06530966529329722,-0.05495202399805694,-0.06239257389111973
0.0555,0.000105111249026824,6.365620834409929e-05,-0.06530491384273081,0.000502056862327512,0.00034330487440619,-0.05494959908729956,0.000120331809330946,7.461355150703274e-05,-0.06238827090684615,-0.06530491384273081,-0.05494959908729956,-0.06238827090684615
0.0556,0.0001050900258041828,6.365432873280157e-05,-0.06530019121797535,0.0005016245289145067,0.0003430312952359651,-0.05494716795599003,0.0001203065542478766,7.461055239771113e-05,-0.06238399501600844,-0.06530019121797535,-0.05494716795599003,-0.06238399501600844
0.0557,0.000105068800377128,6.36524123434088e-05,-0.06529549725675797,0.000501193333520356,0.0003427585336002148,-0.05494473055850331,0.0001202812961114368,7.460751056400173e-05,-0.06237974605597112,-0.06529549725675797,-0.05494473055850331,-0.06237974605597112
0.0558,0.0001050475727622386,6.36504593690595e-05,-0.06529083179775884,0.0005007632711874986,0.000342486585937686,-0.05494228685010099,0.0001202560349489318,7.460442624559823e-05,-0.06237552386511936,-0.06529083179775884,-0.05494228685010099,-0.06237552386511936
0.0559,0.0001050263429762552,6.364847000200576e-05,-0.06528619468060508,0.0005003343369863061,0.0003422154487062007,-0.05493983678692044,0.0001202307707878239,7.46012996810127e-05,-0.06237132828285186,-0.06528619468060508,-0.05493983678692044,-0.06237132828285186
0.056,0.0001050051110360774,6.364644443361728e-05,-0.06528158574586444,0.0004999065260148831,0.0003419451183825314,-0.05493738032596318,0.0001202055036557296,7.459813110758079e-05,-0.06236715914957364,-0.06528158574586444,-0.05493738032596318,-0.06236715914957364
0.0561,0.0001049838769587615,6.364438285438473e-05,-0.06527700483503963,0.0004994798333988907,0.000341675591462293,-0.05493491742508522,0.0001201802335804167,7.459492076146731e-05,-0.06236301630668944,-0.06527700483503963,-0.05493491742508522,-0.06236301630668944
0.0562,0.0001049626407615181,6.364228545392334e-05,-0.06527245179056317,0.0004990542542913877,0.0003414068644598415,-0.05493244804298862,0.0001201549605898018,7.459166887767084e-05,-0.06235889959659799,-0.06527245179056317,-0.05493244804298862,-0.06235889959659799
0.0563,0.0001049414024617089,6.364015242097716e-05,-0.06526792645578937,0.0004986297838725728,0.000341138933908122,-0.05492997213920517,0.0001201296847119464,7.458837569003119e-05,-0.06235480886268241,-0.06526792645578937,-0.05492997213920517,-0.06235480886268241
0.0564,0.0001049201620768453,6.363798394342191e-05,-0.06526342867499063,0.0004982064173496739,0.0003408717963585924,-0.05492748967409188,0.0001201044059750548,7.458504143123329e-05,-0.06235074394930622,-0.06526342867499063,-0.05492748967409188,-0.06235074394930622
0.0565,0.000104898919624585,6.363578020826908e-05,-0.06525895829335052,0.00049778414995673,0.0003406054483810941,-0.05492500060881807,0.000120079124407471,7.458166633281314e-05,-0.06234670470180532,-0.06525895829335052,-0.05492500060881807,-0.06234670470180532
0.0566,0.0001048776751227298,6.363354140166972e-05,-0.06525451515695732,0.0004973629769543899,0.0003403398865637263,-0.05492250490535327,0.0001200538400376751,7.457825062516368e-05,-0.06234269096648054,-0.06525451515695732,-0.05492250490535327,-0.06234269096648054
0.0567,0.0001048564285892241,6.36312677089172e-05,-0.06525009911280108,0.0004969428936298221,0.0003400751075127831,-0.05492000252646469,0.0001200285528942827,7.45747945375384e-05,-0.06233870259059432,-0.06525009911280108,-0.05492000252646469,-0.06233870259059432
