"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
2.15,-0.08,-2.780044034723315e-13,0,-0.08,0,-0.08
2.16,-0.08,-2.785664917732637e-13,0,-0.08,0,-0.08
2.17,-0.08,-2.791249120165862e-13,0,-0.08,0,-0.08
2.18,-0.08,-2.796796868235294e-13,0,-0.08,0,-0.08
2.19,-0.08,-2.802308397356125e-13,0,-0.08,0,-0.08
2.2,-0.08,-2.80778394113445e-13,0,-0.08,0,-0.08
2.21,-0.08,-2.81322373136727e-13,0,-0.08,0,-0.08
2.22,-0.08,-2.818627998042501e-13,0,-0.08,0,-0.08
2.23,-0.08,-2.823996969338966e-13,0,-0.08,0,-0.08
2.24,-0.08,-2.829330871626411e-13,0,-0.08,0,-0.08
2.25,-0.08,-2.834629929465494e-13,0,-0.08,0,-0.08
2.26,-0.08,-2.839894365607796e-13,0,-0.08,0,-0.08
2.27,-0.08,-2.845124400995823e-13,0,-0.08,0,-0.08
2.28,-0.08,-2.850320254763004e-13,0,-0.08,0,-0.08
2.29,-0.08,-2.855482144233696e-13,0,-0.08,0,-0.08
2.3,-0.08,-2.860610285433034e-13,0,-0.08,0,-0.08
2.31,-0.08,-2.865705109998892e-13,0,-0.08,0,-0.08
2.32,-0.08,-2.870766666006443e-13,0,-0.08,0,-0.08
2.33,-0.08,-2.875795169449757e-13,0,-0.08,0,-0.08
2.34,-0.08,-2.88079083476788e-13,0,-0.08,0,-0.08
2.35,-0.08,-2.885753874844827e-13,0,-0.08,0,-0.08
2.36,-0.08,-2.890684501009579e-13,0,-0.08,0,-0.08
2.37,-0.08,-2.895582923036087e-13,0,-0.08,0,-0.08
2.38,-0.08,-2.900449349143265e-13,0,-0.08,0,-0.08
2.39,-0.08,-2.905283985994984e-13,0,-0.08,0,-0.08
2.4,-0.08,-2.910087038700081e-13,0,-0.08,0,-0.08
2.41,-0.08,-2.914858710812345e-13,0,-0.08,0,-0.08
2.42,-0.08,-2.919599204330522e-13,0,-0.08,0,-0.08
2.43,-0.08,-2.924308719698315e-13,0,-0.08,0,-0.08
2.44,-0.08,-2.928987455804373e-13,0,-0.08,0,-0.08
2.45,-0.08,-2.933635702101657e-13,0,-0.08,0,-0.08
2.46,-0.08,-2.938253685794603e-13,0,-0.08,0,-0.08
2.47,-0.08,-2.942841528061605e-13,0,-0.08,0,-0.08
2.48,-0.08,-2.947399426864233e-13,0,-0.08,0,-0.08
2.49,-0.08,-2.951927578831877e-13,0,-0.08,0,-0.08
2.5,-0.08,-2.956426179261754e-13,0,-0.08,0,-0.08
2.51,-0.08,-2.960895422118896e-13,0,-0.08,0,-0.08
2.52,-0.08,-2.965335500036158e-13,0,-0.08,0,-0.08
2.53,-0.08,-2.96974660431421e-13,0,-0.08,0,-0.08
2.54,-0.08,-2.97412892492154e-13,0,-0.08,0,-0.08
2.55,-0.08,-2.978482650494448e-13,0,-0.08,0,-0.08
2.56,-0.08,-2.982807968337052e-13,0,-0.08,0,-0.08
2.57,-0.08,-2.987105064421279e-13,0,-0.08,0,-0.08
2.58,-0.08,-2.991374123386869e-13,0,-0.08,0,-0.08
2.59,-0.08,-2.995615327646953e-13,0,-0.08,0,-0.08
2.6,-0.08,-2.999828799818947e-13,0,-0.08,0,-0.08
