"time","l2.v","act_steady","act_steady2","act_tau","act_tau2","inact_steady","inact_steady2","inact_tau","inact_tau2","v","vc.v"
53,-0.02700000000000014,0.9213639223289983,0.9975273768433651,0.001614416618825041,0.001614416618825041,0.62665660134081,0.62665660134081,3.601827466475743,3.601827466475743,-0.02700000000000014,-0.02700000000000014
54,-0.02600000000000015,0.9290629130924335,0.9979746796109501,0.001515654226377668,0.001515654226377668,0.5932874585402887,0.5932874585402889,3.559579460096966,3.559579460096966,-0.02600000000000015,-0.02600000000000015
55,-0.02500000000000015,0.9360604318136059,0.9983411989198255,0.001421867125661803,0.001421867125661803,0.5588550445666794,0.5588550445666794,3.503456712162095,3.503456712162096,-0.02500000000000015,-0.02500000000000015
56,-0.02400000000000016,0.9424104743578826,0.9986414800495709,0.001333117210025896,0.001333117210025897,0.5236701478193689,0.5236701478193692,3.433560639175112,3.433560639175113,-0.02400000000000016,-0.02400000000000016
57,-0.02300000000000017,0.948164796347432,0.9988874639671396,0.001249404388586542,0.001249404388586542,0.4880770447429796,0.4880770447429795,3.350352467612963,3.350352467612963,-0.02300000000000017,-0.02300000000000017
58,-0.02200000000000017,0.9533725964436891,0.9990889488055994,0.001170675598862072,0.001170675598862072,0.4524406931167655,0.4524406931167655,3.25465275891924,3.25465275891924,-0.02200000000000017,-0.02200000000000017
59,-0.02100000000000018,0.9580803094433562,0.9992539711661633,0.001096833566174908,0.001096833566174908,0.41713197497255,0.4171319749725499,3.147617808276256,3.147617808276256,-0.02100000000000018,-0.02100000000000018
60,-0.02000000000000019,0.9623314904548678,0.9993891206405656,0.001027745071635004,0.001027745071635005,0.3825122249053982,0.3825122249053983,3.030694052499529,3.03069405249953,-0.02000000000000019,-0.02000000000000019
61,-0.01900000000000019,0.9661667730180247,0.9994997988929205,0.0009632485650129338,0.0009632485650129339,0.3489184030721496,0.3489184030721496,2.905554264543455,2.905554264543456,-0.01900000000000019,-0.01900000000000019
62,-0.0180000000000002,0.9696238858925339,0.9995904328350139,0.0009031610231787344,0.0009031610231787345,0.3166501942693351,0.3166501942693351,2.77402143383432,2.774021433834321,-0.0180000000000002,-0.0180000000000002
63,-0.01700000000000021,0.9727377152003265,0.9996646498695334,0.0008472840077413954,0.0008472840077413954,0.2859600497984831,0.285960049798483,2.63798744342049,2.63798744342049,-0.01700000000000021,-0.01700000000000021
64,-0.01600000000000021,0.9755404005399789,0.9997254218438986,0.0007954089170345073,0.0007954089170345073,0.2570467926346135,0.2570467926346135,2.49933377556333,2.49933377556333,-0.01600000000000021,-0.01600000000000021
65,-0.0150000000000002,0.9780614555180762,0.9997751832297667,0.0007473214584568002,0.0007473214584568003,0.2300529584357319,0.2300529584357319,2.359860570109049,2.359860570109049,-0.0150000000000002,-0.0150000000000002
66,-0.01400000000000021,0.980327904812594,0.9998159280950366,0.0007028053886886813,0.0007028053886886814,0.2050656272111774,0.2050656272111773,2.221228693755328,2.221228693755328,-0.01400000000000021,-0.01400000000000021
67,-0.01300000000000022,0.9823644313719736,0.9998492896419403,0.0006616455829897455,0.000661645582989746,0.1821201772729387,0.1821201772729387,2.08491743534246,2.084917435342461,-0.01300000000000022,-0.01300000000000022
68,-0.01200000000000022,0.9841935286525013,0.9998766054240137,0.0006236305021911838,0.0006236305021911838,0.161206199021096,0.161206199021096,1.952198409647502,1.952198409647502,-0.01200000000000022,-0.01200000000000022
69,-0.01100000000000022,0.9858356539096881,0.9998989708060922,0.0005885541285878561,0.0005885541285878563,0.1422747444921348,0.1422747444921348,1.824124534704807,1.824124534704808,-0.01100000000000022,-0.01100000000000022
70,-0.0100000000000002,0.9873093794979494,0.9999172827771484,0.0005562174409949719,0.0005562174409949719,0.1252461382883898,0.1252461382883898,1.701531723534624,1.701531723534624,-0.0100000000000002,-0.0100000000000002
71,-0.00900000000000019,0.9886315399128109,0.9999322758503804,0.0005264294958485999,0.0005264294958485999,0.1100177018774349,0.1100177018774349,1.585050251411199,1.585050251411199,-0.00900000000000019,-0.00900000000000019
72,-0.008000000000000177,0.9898173729488828,0.9999445514752772,0.0004990081762758372,0.0004990081762758372,0.09647090902804424,0.09647090902804425,1.475122579117822,1.475122579117822,-0.008000000000000177,-0.008000000000000177
73,-0.007000000000000174,0.9908806538632915,0.9999546021312976,0.0004737806652237586,0.0004737806652237585,0.08447766325763179,0.08447766325763177,1.372024631665045,1.372024631665045,-0.007000000000000174,-0.007000000000000174
74,-0.006000000000000175,0.9918338218457222,0.9999628310628971,0.0004505836925298504,0.0004505836925298504,0.07390554556840578,0.07390554556840577,1.275888034461111,1.275888034461111,-0.006000000000000175,-0.006000000000000175
75,-0.005000000000000173,0.9926880984191583,0.9999695684430994,0.0004292635996099992,0.0004292635996099993,0.06462200883672001,0.06462200883671999,1.186721483679708,1.186721483679708,-0.005000000000000173,-0.005000000000000173
76,-0.004000000000000168,0.9934535976445787,0.9999750846110607,0.0004096762594857928,0.0004096762594857928,0.05649758809646535,0.05649758809646534,1.104430173222787,1.104430173222787,-0.004000000000000168,-0.004000000000000168
77,-0.003000000000000158,0.9941394281913429,0.9999796009127201,0.0003916868843315118,0.0003916868843315119,0.0494082531106963,0.04940825311069631,1.028832919878265,1.028832919878265,-0.003000000000000158,-0.003000000000000158
78,-0.002000000000000149,0.9947537874740668,0.999983298578152,0.0003751697476834677,0.0003751697476834677,0.04323705409288458,0.04323705409288457,0.9596772225446981,0.9596772225446982,-0.002000000000000149,-0.002000000000000149
79,-0.001000000000000145,0.9953040481561178,0.9999863259909154,0.0003600078439594898,0.0003600078439594898,0.03787520889281598,0.03787520889281597,0.8966528686161187,0.8966528686161187,-0.001000000000000145,-0.001000000000000145
80,-1.447346978923117e-16,0.9957968373875522,0.999988804640495,0.0003460925039872427,0.0003460925039872427,0.03322275838167083,0.03322275838167082,0.8394047995368881,0.839404799536888,-1.447346978923117e-16,-1.447346978923117e-16
81,0.000999999999999869,0.9962381091881674,0.9999908339962802,0.0003333229818149602,0.0003333229818149602,0.02918888586513751,0.0291888858651375,0.787545769719172,0.7875457697191718,0.000999999999999869,0.000999999999999869
82,0.00199999999999989,0.9966332104099147,0.9999924954984029,0.0003216060251401432,0.0003216060251401432,0.02569196603484114,0.02569196603484114,0.7406689604554159,0.7406689604554157,0.00199999999999989,0.00199999999999989
83,0.002999999999999903,0.9969869407217749,0.9999938558253978,0.0003108554391954444,0.0003108554391954444,0.02265938698771188,0.02265938698771187,0.6983602884714823,0.6983602884714822,0.002999999999999903,0.002999999999999903
84,0.003999999999999918,0.9973036070580238,0.9999949695696981,0.0003009916518277019,0.0003009916518277019,0.02002717864615176,0.02002717864615175,0.6602098334483235,0.6602098334483235,0.003999999999999918,0.003999999999999918
85,0.004999999999999939,0.9975870729605709,0.999995881428255,0.0002919412857474649,0.0002919412857474648,0.01773948103545211,0.01773948103545211,0.6258217040476883,0.6258217040476883,0.004999999999999939,0.004999999999999939
86,0.005999999999999953,0.997840803230075,0.9999966279961363,0.0002836367424664862,0.0002836367424664863,0.01574789138869108,0.01574789138869108,0.5948217813456234,0.5948217813456234,0.005999999999999953,0.005999999999999953
87,0.006999999999999961,0.9980679042806821,0.9999972392350497,0.0002760158012375057,0.0002760158012375058,0.01401073426521143,0.01401073426521142,0.5668630527279602,0.5668630527279603,0.006999999999999961,0.006999999999999961
88,0.00799999999999996,0.9982711605709299,0.999997739675702,0.0002690212353266535,0.0002690212353266535,0.01249229981097774,0.01249229981097773,0.541628569184463,0.541628569184463,0.00799999999999996,0.00799999999999996
89,0.008999999999999959,0.9984530674597025,0.9999981494022271,0.0002626004471509548,0.0002626004471509548,0.01116209078474941,0.0111620907847494,0.5188323266142248,0.5188323266142248,0.008999999999999959,0.008999999999999959
90,0.00999999999999996,0.998615860811972,0.9999984848581834,0.0002567051231730165,0.0002567051231730165,0.009994110234445481,0.009994110234445477,0.4982185324270795,0.4982185324270796,0.00999999999999996,0.00999999999999996
91,0.01099999999999996,0.9987615436550015,0.9999987595064589,0.0002512909089371972,0.0002512909089371973,0.008966211087758705,0.0089662110877587,0.4795597653381889,0.4795597653381888,0.01099999999999996,0.01099999999999996
92,0.01199999999999996,0.9988919101622136,0.9999989843695606,0.0002463171042349925,0.0002463171042349925,0.008059518699107208,0.008059518699107203,0.4626544945853248,0.4626544945853247,0.01199999999999996,0.01199999999999996
93,0.01299999999999996,0.9990085672193065,0.9999991684719722,0.0002417463780834928,0.0002417463780834928,0.007257929073697053,0.007257929073697051,0.447324332959066,0.4473243329590659,0.01299999999999996,0.01299999999999996
94,0.01399999999999996,0.9991129538057039,0.9999993192023292,0.0002375445029736405,0.0002375445029736405,0.006547679657138187,0.006547679657138187,0.4334112906714876,0.4334112906714878,0.01399999999999996,0.01399999999999996
95,0.01499999999999996,0.9992063584041271,0.9999994426099414,0.0002336801076808059,0.0002336801076808059,0.005916986125779725,0.005916986125779723,0.4207751978308652,0.4207751978308652,0.01499999999999996,0.01499999999999996
96,0.01599999999999996,0.999289934632106,0.9999995436475715,0.0002301244478170957,0.0002301244478170956,0.005355737053384531,0.005355737053384529,0.4092913839916413,0.4092913839916413,0.01599999999999996,0.01599999999999996
97,0.01699999999999996,0.9993647152715724,0.9999996263702017,0.0002268511932326104,0.0002268511932326104,0.00485523807507795,0.004855238075077948,0.3988486468109,0.3988486468108999,0.01699999999999996,0.01699999999999996
98,0.01799999999999996,0.9994316248563481,0.999999694097773,0.0002238362313330091,0.0002238362313330091,0.004407997692372271,0.004407997692372268,0.3893475059042658,0.3893475059042658,0.01799999999999996,0.01799999999999996
99,0.01899999999999996,0.9994914909622751,0.9999997495484255,0.0002210574853659602,0.0002210574853659602,0.004007547765930948,0.004007547765930949,0.3806987179878022,0.3806987179878024,0.01899999999999996,0.01899999999999996
100,0.01999999999999996,0.999545054330919,0.9999997949475846,0.0002184947467333818,0.0002184947467333819,0.003648292763152115,0.003648292763152114,0.3728220204978396,0.3728220204978396,0.01999999999999996,0.01999999999999996
101,0.02099999999999996,0.9995929779451175,0.9999998321172752,0.000216129520404888,0.000216129520404888,0.003325382813649897,0.003325382813649896,0.3656450689998956,0.3656450689998956,0.02099999999999996,0.02099999999999996
102,0.02199999999999996,0.9996358551631158,0.9999998625492461,0.000213944882536603,0.000213944882536603,0.003034606503260793,0.003034606503260792,0.3591025357673946,0.3591025357673947,0.02199999999999996,0.02199999999999996
103,0.02299999999999996,0.9996742170075129,0.9999998874648379,0.0002119253494353382,0.0002119253494353382,0.002772300081107227,0.002772300081107226,0.3531353408527393,0.3531353408527393,0.02299999999999996,0.02299999999999996
104,0.02399999999999996,0.9997085386956953,0.9999999078640001,0.0002100567570485736,0.0002100567570485736,0.002535270366445032,0.002535270366445031,0.3476899914979991,0.3476899914979991,0.02399999999999996,0.02399999999999996
105,0.02499999999999996,0.9997392454897809,0.9999999245654222,0.0002083261502038582,0.0002083261502038582,0.002320729137226815,0.002320729137226814,0.34271801011616,0.34271801011616,0.02499999999999996,0.02499999999999996
106,0.02599999999999996,0.9997667179362476,0.9999999382393905,0.0002067216808656809,0.0002067216808656809,0.002126237179517348,0.002126237179517348,0.3381754349650967,0.3381754349650966,0.02599999999999996,0.02599999999999996
107,0.02699999999999996,0.9997912965583379,0.9999999494346891,0.0002052325147225024,0.0002052325147225023,0.001949656494837007,0.001949656494837006,0.3340223809104432,0.3340223809104431,0.02699999999999996,0.02699999999999996
108,0.02799999999999996,0.9998132860579201,0.9999999586006244,0.0002038487454606826,0.0002038487454606827,0.001789109417643053,0.001789109417643052,0.3302226503317369,0.3302226503317368,0.02799999999999996,0.02799999999999996
109,0.02899999999999996,0.9998329590777137,0.9999999661050578,0.0002025613161249271,0.0002025613161249271,0.001642943601043728,0.001642943601043728,0.3267433863317275,0.3267433863317276,0.02899999999999996,0.02899999999999996
110,0.02999999999999996,0.9998505595695799,0.9999999722491683,0.0002013619470062202,0.0002013619470062202,0.001509701996222182,0.001509701996222181,0.3235547620480311,0.3235547620480311,0.02999999999999996,0.02999999999999996
111,0.03099999999999996,0.9998663058098811,0.9999999772795406,0.0002002430695377563,0.0002002430695377563,0.001388097088247741,0.001388097088247741,0.320629701127915,0.3206297011279151,0.03099999999999996,0.03099999999999996
112,0.03199999999999996,0.9998803930987014,0.999999981398061,0.0001991977657169618,0.0001991977657169618,0.001276988764334492,0.001276988764334491,0.3179436253912828,0.3179436253912827,0.03199999999999996,0.03199999999999996
113,0.03299999999999996,0.9998929961759173,0.9999999847700205,0.000198219712607239,0.0001982197126072389,0.001175365285015967,0.001175365285015967,0.3154742264418778,0.3154742264418778,0.03299999999999996,0.03299999999999996
114,0.03399999999999995,0.9999042713837005,0.9999999875307474,0.0001973031315065325,0.0001973031315065325,0.001082326907834366,0.001082326907834364,0.3132012585475356,0.3132012585475355,0.03399999999999995,0.03399999999999995
115,0.03499999999999994,0.9999143586019621,0.9999999897910393,0.0001964427414012221,0.0001964427414012221,0.0009970717798298619,0.000997071779829861,0.3111063505403054,0.3111063505403054,0.03499999999999994,0.03499999999999994
116,0.03599999999999994,0.9999233829805055,0.9999999916416099,0.0001956337163532353,0.0001956337163532353,0.0009188837715619135,0.0009188837715619128,0.3091728348197957,0.3091728348197957,0.03599999999999994,0.03599999999999994
117,0.03699999999999994,0.9999314564891737,0.9999999931567289,0.0001948716464956997,0.0001948716464956997,0.0008471219733310418,0.0008471219733310411,0.3073855918033311,0.307385591803331,0.03699999999999994,0.03699999999999994
118,0.03799999999999993,0.9999386793050666,0.9999999943972036,0.000194152502337999,0.000194152502337999,0.0007812116150773565,0.0007812116150773565,0.3057309083732548,0.305730908373255,0.03799999999999993,0.03799999999999993
119,0.03899999999999993,0.9999451410539141,0.9999999954128183,0.0001934726021048426,0.0001934726021048426,0.0007206362062284989,0.0007206362062284987,0.3041963490387928,0.3041963490387927,0.03899999999999993,0.03899999999999993
120,0.03999999999999992,0.9999509219209013,0.9999999962443333,0.0001928285818559914,0.0001928285818559915,0.000664930721471009,0.0006649307214710089,0.3027706386674712,0.3027706386674712,0.03999999999999992,0.03999999999999992
121,0.04099999999999993,0.9999560936446558,0.9999999969251201,0.0001922173681537033,0.0001922173681537033,0.0006136756837859369,0.0006136756837859368,0.3014435557565163,0.3014435557565163,0.04099999999999993,0.04099999999999993
122,0.04199999999999993,0.9999607204066592,0.9999999974825013,0.0001916361530638543,0.0001916361530638543,0.0005664920177589563,0.0005664920177589558,0.300205835313272,0.3002058353132719,0.04199999999999993,0.04199999999999993
123,0.04299999999999993,0.9999648596270708,0.9999999979388463,0.0001910823712941577,0.0001910823712941577,0.0005230365646855401,0.0005230365646855399,0.2990490804993251,0.2990490804993251,0.04299999999999993,0.04299999999999993
124,0.04399999999999994,0.9999685626768017,0.9999999983124701,0.0001905536792890271,0.0001905536792890272,0.0004829981668002171,0.0004829981668002168,0.2979656822684774,0.2979656822684774,0.04399999999999994,0.04399999999999994
125,0.04499999999999994,0.999971875514634,0.9999999986183674,0.0001900479361155043,0.0001900479361155043,0.0004460942414555786,0.0004460942414555784,0.2969487462959608,0.2969487462959609,0.04499999999999994,0.04499999999999994
126,0.04599999999999994,0.9999748392572749,0.9999999988688149,0.0001895631859883787,0.0001895631859883787,0.0004120677775954214,0.0004120677775954212,0.2959920265568188,0.2959920265568188,0.04599999999999994,0.04599999999999994
127,0.04699999999999993,0.9999774906893935,0.9999999990738639,0.0001890976422952525,0.0001890976422952525,0.0003806846966932666,0.0003806846966932665,0.2950898649662264,0.2950898649662264,0.04699999999999993,0.04699999999999993
128,0.04799999999999993,0.9999798627199542,0.9999999992417439,0.0001886496729939146,0.0001886496729939146,0.0003517315287079111,0.000351731528707911,0.2942371365445076,0.2942371365445076,0.04799999999999993,0.04799999999999993
129,0.04899999999999993,0.9999819847904999,0.9999999993791924,0.0001882177872650757,0.0001882177872650757,0.0003250133607522904,0.0003250133607522903,0.2934291996153093,0.2934291996153093,0.04899999999999993,0.04899999999999993
130,0.04999999999999992,0.9999838832404372,0.9999999994917257,0.0001878006233133289,0.0001878006233133289,0.0003003520222613841,0.0003003520222613838,0.2926618505873022,0.2926618505873023,0.04999999999999992,0.04999999999999992
131,0.05099999999999992,0.9999855816338498,0.9999999995838602,0.0001873969372182195,0.0001873969372182195,0.0002775844756341105,0.0002775844756341103,0.2919312829082463,0.2919312829082462,0.05099999999999992,0.05099999999999992
132,0.05199999999999992,0.9999871010518945,0.9999999996592936,0.0001870055927455881,0.000187005592745588,0.0002565613857458261,0.0002565613857458258,0.2912340498156116,0.2912340498156116,0.05199999999999992,0.05199999999999992
