"time","v","der(v)","flux","flux0"
18.7,-0.001300000000000001,0.001,-1.390807417162951e-08,-1.34944386579954e-08
18.8,-0.001199999999999999,0.001,-1.38760671611571e-08,-1.34944386579954e-08
18.9,-0.001100000000000002,0.001,-1.384409163011582e-08,-1.34944386579954e-08
19,-0.001000000000000001,0.001,-1.381214757951921e-08,-1.34944386579954e-08
19.1,-0.0008999999999999989,0.001,-1.378023501029283e-08,-1.34944386579954e-08
19.2,-0.0008000000000000004,0.001,-1.374835392327401e-08,-1.34944386579954e-08
19.3,-0.0006999999999999992,0.001,-1.371650431921191e-08,-1.34944386579954e-08
19.4,-0.0006000000000000016,0.001,-1.36846861987678e-08,-1.34944386579954e-08
19.5,-0.0005000000000000004,0.001,-1.365289956251448e-08,-1.34944386579954e-08
19.6,-0.0003999999999999993,0.001,-1.362114441093688e-08,-1.34944386579954e-08
19.7,-0.0003000000000000008,0.001,-1.35894207444318e-08,-1.34944386579954e-08
19.8,-0.0001999999999999997,0.001,-1.355772856330764e-08,-1.34944386579954e-08
19.9,-0.000100000000000002,0.001,-1.352606786778486e-08,-1.34944386579954e-08
20,0,0.001,-1.34944386579954e-08,-1.34944386579954e-08
20.1,0.0001000000000000011,0.001,-1.34628409339839e-08,-1.34944386579954e-08
20.2,0.0001999999999999988,0.001,-1.343127469570555e-08,-1.34944386579954e-08
20.3,0.0002999999999999999,0.001,-1.339973994302901e-08,-1.34944386579954e-08
20.4,0.0003999999999999984,0.001,-1.336823667573322e-08,-1.34944386579954e-08
20.5,0.0004999999999999996,0.001,-1.333676489350971e-08,-1.34944386579954e-08
20.6,0.0006000000000000007,0.001,-1.330532459596207e-08,-1.34944386579954e-08
20.7,0.0006999999999999992,0.001,-1.327391578260534e-08,-1.34944386579954e-08
20.8,0.0008000000000000004,0.001,-1.324253845286644e-08,-1.34944386579954e-08
20.9,0.000899999999999998,0.001,-1.321119260608435e-08,-1.34944386579954e-08
21,0.001,0.001,-1.317987824150977e-08,-1.34944386579954e-08
21.1,0.001100000000000001,0.001,-1.31485953583054e-08,-1.34944386579954e-08
21.2,0.001199999999999999,0.001,-1.311734395554572e-08,-1.34944386579954e-08
21.3,0.001300000000000001,0.001,-1.308612403221719e-08,-1.34944386579954e-08
21.4,0.001399999999999998,0.001,-1.305493558721814e-08,-1.34944386579954e-08
21.5,0.0015,0.001,-1.302377861935877e-08,-1.34944386579954e-08
21.6,0.001600000000000002,0.001,-1.299265312736129e-08,-1.34944386579954e-08
21.7,0.001699999999999999,0.001,-1.296155910985984e-08,-1.34944386579954e-08
21.8,0.0018,0.001,-1.293049656540046e-08,-1.34944386579954e-08
21.9,0.001899999999999998,0.001,-1.289946549244121e-08,-1.34944386579954e-08
22,0.002,0.001,-1.286846588935212e-08,-1.34944386579954e-08
22.1,0.002100000000000001,0.001,-1.28374977544152e-08,-1.34944386579954e-08
22.2,0.002199999999999999,0.001,-1.280656108582456e-08,-1.34944386579954e-08
22.3,0.002300000000000001,0.001,-1.277565588168623e-08,-1.34944386579954e-08
22.4,0.002399999999999998,0.001,-1.274478214001841e-08,-1.34944386579954e-08
22.5,0.0025,0.001,-1.271393985875129e-08,-1.34944386579954e-08
22.6,0.002600000000000001,0.001,-1.268312903572723e-08,-1.34944386579954e-08
22.7,0.002699999999999999,0.001,-1.265234966870065e-08,-1.34944386579954e-08
22.8,0.0028,0.001,-1.26216017553381e-08,-1.34944386579954e-08
22.9,0.002899999999999998,0.001,-1.259088529321839e-08,-1.34944386579954e-08
23,0.003,0.001,-1.256020027983239e-08,-1.34944386579954e-08
23.1,0.003100000000000001,0.001,-1.25295467125833e-08,-1.34944386579954e-08
23.2,0.003199999999999999,0.001,-1.249892458878647e-08,-1.34944386579954e-08
23.3,0.0033,0.001,-1.246833390566958e-08,-1.34944386579954e-08
23.4,0.003399999999999999,0.001,-1.243777466037258e-08,-1.34944386579954e-08
23.5,0.0035,0.001,-1.240724684994771e-08,-1.34944386579954e-08
23.6,0.003600000000000001,0.001,-1.237675047135964e-08,-1.34944386579954e-08
23.7,0.003699999999999999,0.001,-1.234628552148533e-08,-1.34944386579954e-08
23.8,0.003800000000000001,0.001,-1.231585199711422e-08,-1.34944386579954e-08
23.9,0.003899999999999999,0.001,-1.228544989494816e-08,-1.34944386579954e-08
24,0.004,0.001,-1.22550792116015e-08,-1.34944386579954e-08
24.1,0.004100000000000001,0.001,-1.222473994360111e-08,-1.34944386579954e-08
24.2,0.004199999999999999,0.001,-1.219443208738637e-08,-1.34944386579954e-08
24.3,0.004300000000000001,0.001,-1.216415563930928e-08,-1.34944386579954e-08
24.4,0.004399999999999999,0.001,-1.213391059563444e-08,-1.34944386579954e-08
24.5,0.004500000000000001,0.001,-1.210369695253909e-08,-1.34944386579954e-08
24.6,0.004600000000000002,0.001,-1.207351470611319e-08,-1.34944386579954e-08
24.7,0.004699999999999999,0.001,-1.204336385235944e-08,-1.34944386579954e-08
24.8,0.0048,0.001,-1.201324438719328e-08,-1.34944386579954e-08
24.9,0.004899999999999998,0.001,-1.198315630644299e-08,-1.34944386579954e-08
25,0.005,0.001,-1.19530996058497e-08,-1.34944386579954e-08
25.1,0.005100000000000001,0.001,-1.192307428106743e-08,-1.34944386579954e-08
25.2,0.0052,0.001,-1.189308032766314e-08,-1.34944386579954e-08
25.3,0.005300000000000001,0.001,-1.18631177411168e-08,-1.34944386579954e-08
25.4,0.005399999999999999,0.001,-1.183318651682136e-08,-1.34944386579954e-08
25.5,0.0055,0.001,-1.180328665008289e-08,-1.34944386579954e-08
25.6,0.005600000000000002,0.001,-1.177341813612059e-08,-1.34944386579954e-08
25.7,0.005699999999999999,0.001,-1.174358097006678e-08,-1.34944386579954e-08
25.8,0.0058,0.001,-1.171377514696704e-08,-1.34944386579954e-08
25.9,0.005899999999999999,0.001,-1.16840006617802e-08,-1.34944386579954e-08
26,0.006,0.001,-1.165425750937841e-08,-1.34944386579954e-08
26.1,0.006100000000000001,0.001,-1.16245456845472e-08,-1.34944386579954e-08
26.2,0.0062,0.001,-1.159486518198551e-08,-1.34944386579954e-08
26.3,0.0063,0.001,-1.156521599630576e-08,-1.34944386579954e-08
26.4,0.006399999999999996,0.001,-1.15355981220339e-08,-1.34944386579954e-08
26.5,0.006499999999999995,0.001,-1.150601155360944e-08,-1.34944386579954e-08
26.6,0.006599999999999998,0.001,-1.147645628538554e-08,-1.34944386579954e-08
26.7,0.006699999999999998,0.001,-1.144693231162908e-08,-1.34944386579954e-08
26.8,0.0068,0.001,-1.141743962652065e-08,-1.34944386579954e-08
26.9,0.006899999999999996,0.001,-1.138797822415465e-08,-1.34944386579954e-08
27,0.006999999999999996,0.001,-1.135854809853937e-08,-1.34944386579954e-08
27.1,0.007099999999999999,0.001,-1.132914924359702e-08,-1.34944386579954e-08
27.2,0.007199999999999998,0.001,-1.129978165316378e-08,-1.34944386579954e-08
27.3,0.007299999999999997,0.001,-1.12704453209899e-08,-1.34944386579954e-08
27.4,0.007399999999999997,0.001,-1.124114024073972e-08,-1.34944386579954e-08
27.5,0.007499999999999996,0.001,-1.121186640599175e-08,-1.34944386579954e-08
27.6,0.007599999999999999,0.001,-1.118262381023875e-08,-1.34944386579954e-08
27.7,0.007699999999999995,0.001,-1.115341244688778e-08,-1.34944386579954e-08
27.8,0.007799999999999998,0.001,-1.112423230926025e-08,-1.34944386579954e-08
27.9,0.007899999999999997,0.001,-1.109508339059202e-08,-1.34944386579954e-08
28,0.007999999999999997,0.001,-1.106596568403343e-08,-1.34944386579954e-08
28.1,0.0081,0.001,-1.103687918264941e-08,-1.34944386579954e-08
28.2,0.008199999999999995,0.001,-1.10078238794195e-08,-1.34944386579954e-08
28.3,0.008299999999999998,0.001,-1.097879976723795e-08,-1.34944386579954e-08
28.4,0.008399999999999998,0.001,-1.09498068389138e-08,-1.34944386579954e-08
28.5,0.008499999999999997,0.001,-1.092084508717092e-08,-1.34944386579954e-08
28.6,0.0086,0.001,-1.089191450464812e-08,-1.34944386579954e-08
28.7,0.008699999999999996,0.001,-1.086301508389916e-08,-1.34944386579954e-08
28.8,0.008799999999999995,0.001,-1.083414681739291e-08,-1.34944386579954e-08
28.9,0.008899999999999998,0.001,-1.080530969751334e-08,-1.34944386579954e-08
29,0.008999999999999998,0.001,-1.077650371655967e-08,-1.34944386579954e-08
29.1,0.0091,0.001,-1.074772886674639e-08,-1.34944386579954e-08
29.2,0.009199999999999996,0.001,-1.071898514020334e-08,-1.34944386579954e-08
29.3,0.009299999999999996,0.001,-1.069027252897583e-08,-1.34944386579954e-08
29.4,0.009399999999999999,0.001,-1.066159102502469e-08,-1.34944386579954e-08
29.5,0.009499999999999998,0.001,-1.063294062022635e-08,-1.34944386579954e-08
29.6,0.009600000000000001,0.001,-1.060432130637292e-08,-1.34944386579954e-08
29.7,0.009699999999999997,0.001,-1.057573307517226e-08,-1.34944386579954e-08
29.8,0.009799999999999996,0.001,-1.054717591824811e-08,-1.34944386579954e-08
29.9,0.009899999999999996,0.001,-1.05186498271401e-08,-1.34944386579954e-08
30,0.009999999999999998,0.001,-1.049015479330389e-08,-1.34944386579954e-08
30.1,0.0101,0.001,-1.046169080811123e-08,-1.34944386579954e-08
30.2,0.0102,0.001,-1.043325786285006e-08,-1.34944386579954e-08
30.3,0.0103,0.001,-1.040485594872457e-08,-1.34944386579954e-08
30.4,0.0104,0.001,-1.037648505685531e-08,-1.34944386579954e-08
