"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
1.79,-0.08,-3.926118743815321e-13,0,-0.08,0,-0.08
1.8,-0.08,-3.937068734179075e-13,0,-0.08,0,-0.08
1.81,-0.08,-3.947947261583923e-13,0,-0.08,0,-0.08
1.82,-0.08,-3.958754789192143e-13,0,-0.08,0,-0.08
1.83,-0.08,-3.969491776581954e-13,0,-0.08,0,-0.08
1.84,-0.08,-3.9801586797475e-13,0,-0.08,0,-0.08
1.85,-0.08,-3.990755951098835e-13,0,-0.08,0,-0.08
1.86,-0.08,-4.001284039461904e-13,0,-0.08,0,-0.08
1.87,-0.08,-4.011743449229355e-13,0,-0.08,0,-0.08
1.88,-0.08,-4.02213465532415e-13,0,-0.08,0,-0.08
1.89,-0.08,-4.032458046636526e-13,0,-0.08,0,-0.08
1.9,-0.08,-4.042714063165515e-13,0,-0.08,0,-0.08
1.91,-0.08,-4.052903141607311e-13,0,-0.08,0,-0.08
1.92,-0.08,-4.063025715355282e-13,0,-0.08,0,-0.08
1.93,-0.08,-4.073082214499993e-13,0,-0.08,0,-0.08
1.94,-0.08,-4.083073065829235e-13,0,-0.08,0,-0.08
1.95,-0.08,-4.092998692828037e-13,0,-0.08,0,-0.08
1.96,-0.08,-4.10285951567869e-13,0,-0.08,0,-0.08
1.97,-0.08,-4.11265595126076e-13,0,-0.08,0,-0.08
1.98,-0.08,-4.122388413151122e-13,0,-0.08,0,-0.08
1.99,-0.08,-4.132057311623963e-13,0,-0.08,0,-0.08
2,-0.08,-4.141663053650808e-13,0,-0.08,0,-0.08
2.01,-0.08,-4.151206042900534e-13,0,-0.08,0,-0.08
2.02,-0.08,-4.160686996759169e-13,0,-0.08,0,-0.08
2.03,-0.08,-4.17010608300426e-13,0,-0.08,0,-0.08
2.04,-0.08,-4.179463702150522e-13,0,-0.08,0,-0.08
2.05,-0.08,-4.188760255029096e-13,0,-0.08,0,-0.08
2.06,-0.08,-4.197996139635991e-13,0,-0.08,0,-0.08
2.07,-0.08,-4.207171751132055e-13,0,-0.08,0,-0.08
2.08,-0.08,-4.216287481842991e-13,0,-0.08,0,-0.08
2.09,-0.08,-4.225343721259332e-13,0,-0.08,0,-0.08
2.1,-0.08,-4.234340856036456e-13,0,-0.08,0,-0.08
2.11,-0.08,-4.243279269994561e-13,0,-0.08,0,-0.08
2.12,-0.08,-4.252159344118676e-13,0,-0.08,0,-0.08
2.13,-0.08,-4.260981456558647e-13,0,-0.08,0,-0.08
2.14,-0.08,-4.269745982629139e-13,0,-0.08,0,-0.08
2.15,-0.08,-4.27845329480962e-13,0,-0.08,0,-0.08
2.16,-0.08,-4.287103780782002e-13,0,-0.08,0,-0.08
2.17,-0.08,-4.295697814713109e-13,0,-0.08,0,-0.08
2.18,-0.08,-4.304235745490453e-13,0,-0.08,0,-0.08
2.19,-0.08,-4.312717935354582e-13,0,-0.08,0,-0.08
2.2,-0.08,-4.321144743758414e-13,0,-0.08,0,-0.08
2.21,-0.08,-4.329516527367232e-13,0,-0.08,0,-0.08
2.22,-0.08,-4.33783364005865e-13,0,-0.08,0,-0.08
2.23,-0.08,-4.346096432922609e-13,0,-0.08,0,-0.08
2.24,-0.08,-4.354305254261357e-13,0,-0.08,0,-0.08
2.25,-0.08,-4.362460449589426e-13,0,-0.08,0,-0.08
2.26,-0.08,-4.37056236163363e-13,0,-0.08,0,-0.08
2.27,-0.08,-4.378611330333037e-13,0,-0.08,0,-0.08
2.28,-0.08,-4.386607692838959e-13,0,-0.08,0,-0.08
2.29,-0.08,-4.394551783514943e-13,0,-0.08,0,-0.08
2.3,-0.08,-4.402443934765701e-13,0,-0.08,0,-0.08
2.31,-0.08,-4.410284815447644e-13,0,-0.08,0,-0.08
2.32,-0.08,-4.41807449592814e-13,0,-0.08,0,-0.08
2.33,-0.08,-4.425813308643566e-13,0,-0.08,0,-0.08
2.34,-0.08,-4.43350158363978e-13,0,-0.08,0,-0.08
2.35,-0.08,-4.441139648572126e-13,0,-0.08,0,-0.08
2.36,-0.08,-4.44872782870546e-13,0,-0.08,0,-0.08
2.37,-0.08,-4.456266446914164e-13,0,-0.08,0,-0.08
2.38,-0.08,-4.463755823682137e-13,0,-0.08,0,-0.08
2.39,-0.08,-4.471196277102846e-13,0,-0.08,0,-0.08
2.4,-0.08,-4.478588122879309e-13,0,-0.08,0,-0.08
2.41,-0.08,-4.485931674324118e-13,0,-0.08,0,-0.08
2.42,-0.08,-4.493227242359456e-13,0,-0.08,0,-0.08
